YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1928-07-01;--:--;     68.000;   -999.000;   0
1928-08-01;--:--;     36.000;   -999.000;   0
1928-09-01;--:--;     36.000;   -999.000;   0
1928-10-01;--:--;     72.000;   -999.000;   0
1928-11-01;--:--;    588.000;   -999.000;   0
1928-12-01;--:--;    730.000;   -999.000;   0
1929-01-01;--:--;    388.000;   -999.000;   0
1929-02-01;--:--;    284.000;   -999.000;   0
1929-03-01;--:--;    276.000;   -999.000;   0
1929-04-01;--:--;    176.000;   -999.000;   0
1929-05-01;--:--;    284.000;   -999.000;   0
1929-06-01;--:--;    320.000;   -999.000;   0
1929-07-01;--:--;    144.000;   -999.000;   0
1929-08-01;--:--;     93.000;   -999.000;   0
1929-09-01;--:--;     40.000;   -999.000;   0
1929-10-01;--:--;    122.000;   -999.000;   0
1929-11-01;--:--;    315.000;   -999.000;   0
1929-12-01;--:--;    638.000;   -999.000;   0
1930-01-01;--:--;    810.000;   -999.000;   0
1930-02-01;--:--;    398.000;   -999.000;   0
1930-03-01;--:--;    650.000;   -999.000;   0
1930-04-01;--:--;    550.000;   -999.000;   0
1930-05-01;--:--;    840.000;   -999.000;   0
1930-06-01;--:--;    980.000;   -999.000;   0
1930-07-01;--:--;    424.000;   -999.000;   0
1930-08-01;--:--;    205.000;   -999.000;   0
1930-09-01;--:--;    115.000;   -999.000;   0
1930-10-01;--:--;    480.000;   -999.000;   0
1930-11-01;--:--;    910.000;   -999.000;   0
1930-12-01;--:--;    563.000;   -999.000;   0
1931-01-01;--:--;    798.000;   -999.000;   0
1931-02-01;--:--;    800.000;   -999.000;   0
1931-03-01;--:--;   1300.000;   -999.000;   0
1931-04-01;--:--;    375.000;   -999.000;   0
1931-05-01;--:--;    415.000;   -999.000;   0
1931-06-01;--:--;    147.000;   -999.000;   0
1931-07-01;--:--;    136.000;   -999.000;   0
1931-08-01;--:--;    111.000;   -999.000;   0
1931-09-01;--:--;    301.000;   -999.000;   0
1931-10-01;--:--;    154.000;   -999.000;   0
1931-11-01;--:--;    575.000;   -999.000;   0
1931-12-01;--:--;    545.000;   -999.000;   0
1932-01-01;--:--;    580.000;   -999.000;   0
1932-02-01;--:--;    200.000;   -999.000;   0
1932-03-01;--:--;    315.000;   -999.000;   0
1932-04-01;--:--;   1160.000;   -999.000;   0
1932-05-01;--:--;   1010.000;   -999.000;   0
1932-06-01;--:--;    575.000;   -999.000;   0
1932-07-01;--:--;    420.000;   -999.000;   0
1932-08-01;--:--;    154.000;   -999.000;   0
1932-09-01;--:--;    122.000;   -999.000;   0
1932-10-01;--:--;    305.000;   -999.000;   0
1932-11-01;--:--;    315.000;   -999.000;   0
1932-12-01;--:--;    570.000;   -999.000;   0
1933-01-01;--:--;    284.000;   -999.000;   0
1933-02-01;--:--;    420.000;   -999.000;   0
1933-03-01;--:--;    488.000;   -999.000;   0
1933-04-01;--:--;    172.000;   -999.000;   0
1933-05-01;--:--;    151.000;   -999.000;   0
1933-06-01;--:--;    122.000;   -999.000;   0
1933-07-01;--:--;     97.000;   -999.000;   0
1933-08-01;--:--;     29.000;   -999.000;   0
1933-09-01;--:--;     32.000;   -999.000;   0
1933-10-01;--:--;    638.000;   -999.000;   0
1933-11-01;--:--;    720.000;   -999.000;   0
1933-12-01;--:--;    351.000;   -999.000;   0
1934-01-01;--:--;    590.000;   -999.000;   0
1934-02-01;--:--;    305.000;   -999.000;   0
1934-03-01;--:--;    790.000;   -999.000;   0
1934-04-01;--:--;    545.000;   -999.000;   0
1934-05-01;--:--;    450.000;   -999.000;   0
1934-06-01;--:--;    104.000;   -999.000;   0
1934-07-01;--:--;     57.000;   -999.000;   0
1934-08-01;--:--;     43.000;   -999.000;   0
1934-09-01;--:--;     29.000;   -999.000;   0
1934-10-01;--:--;     43.000;   -999.000;   0
1934-11-01;--:--;    348.000;   -999.000;   0
1934-12-01;--:--;    568.000;   -999.000;   0
1935-01-01;--:--;    670.000;   -999.000;   0
1935-02-01;--:--;    812.000;   -999.000;   0
1935-03-01;--:--;    830.000;   -999.000;   0
1935-04-01;--:--;    590.000;   -999.000;   0
1935-05-01;--:--;    409.000;   -999.000;   0
1935-06-01;--:--;    332.000;   -999.000;   0
1935-07-01;--:--;     75.000;   -999.000;   0
1935-08-01;--:--;     61.000;   -999.000;   0
1935-09-01;--:--;    104.000;   -999.000;   0
1935-10-01;--:--;    230.000;   -999.000;   0
1935-11-01;--:--;    840.000;   -999.000;   0
1935-12-01;--:--;   1400.000;   -999.000;   0
1936-01-01;--:--;   1090.968;   -999.000;   0
1936-02-01;--:--;    922.759;   -999.000;   0
1936-03-01;--:--;    483.839;   -999.000;   0
1936-04-01;--:--;    608.267;   -999.000;   0
1936-05-01;--:--;    516.065;   -999.000;   0
1936-06-01;--:--;    480.633;   -999.000;   0
1936-07-01;--:--;    314.806;   -999.000;   0
1936-08-01;--:--;    336.774;   -999.000;   0
1936-09-01;--:--;    122.983;   -999.000;   0
1936-10-01;--:--;    135.742;   -999.000;   0
1936-11-01;--:--;    248.033;   -999.000;   0
