YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1964-01-01;--:--;    143.871;   -999.000;   0
1964-02-01;--:--;    195.828;   -999.000;   0
1964-03-01;--:--;    502.581;   -999.000;   0
1964-04-01;--:--;    593.300;   -999.000;   0
1964-05-01;--:--;    319.968;   -999.000;   0
1964-06-01;--:--;    231.050;   -999.000;   0
1964-07-01;--:--;     58.252;   -999.000;   0
1964-08-01;--:--;     37.039;   -999.000;   0
1964-09-01;--:--;     38.280;   -999.000;   0
1964-10-01;--:--;     70.194;   -999.000;   0
1964-11-01;--:--;     84.733;   -999.000;   0
1964-12-01;--:--;    115.984;   -999.000;   0
1965-01-01;--:--;    296.935;   -999.000;   0
1965-02-01;--:--;    316.857;   -999.000;   0
1965-03-01;--:--;    399.645;   -999.000;   0
1965-04-01;--:--;    391.933;   -999.000;   0
1965-05-01;--:--;    532.129;   -999.000;   0
1965-06-01;--:--;    469.400;   -999.000;   0
1965-07-01;--:--;    140.323;   -999.000;   0
1965-08-01;--:--;     81.790;   -999.000;   0
1965-09-01;--:--;    368.117;   -999.000;   0
1965-10-01;--:--;    474.419;   -999.000;   0
1965-11-01;--:--;    456.400;   -999.000;   0
1965-12-01;--:--;   1109.839;   -999.000;   0
1966-01-01;--:--;    988.194;   -999.000;   0
1966-02-01;--:--;    860.357;   -999.000;   0
1966-03-01;--:--;    497.806;   -999.000;   0
1966-04-01;--:--;    471.500;   -999.000;   0
1966-05-01;--:--;    415.258;   -999.000;   0
1966-06-01;--:--;    157.733;   -999.000;   0
1966-07-01;--:--;     93.677;   -999.000;   0
1966-08-01;--:--;     77.645;   -999.000;   0
1966-09-01;--:--;     54.000;   -999.000;   0
1966-10-01;--:--;     72.903;   -999.000;   0
1966-11-01;--:--;    342.033;   -999.000;   0
1966-12-01;--:--;    807.645;   -999.000;   0
1967-01-01;--:--;    644.806;   -999.000;   0
1967-02-01;--:--;    403.393;   -999.000;   0
1967-03-01;--:--;    490.613;   -999.000;   0
1967-04-01;--:--;    219.933;   -999.000;   0
1967-05-01;--:--;    165.323;   -999.000;   0
1967-06-01;--:--;    129.367;   -999.000;   0
1967-07-01;--:--;     81.500;   -999.000;   0
1967-08-01;--:--;     70.326;   -999.000;   0
1967-09-01;--:--;     81.247;   -999.000;   0
1967-10-01;--:--;     82.694;   -999.000;   0
1967-11-01;--:--;    210.483;   -999.000;   0
1967-12-01;--:--;    316.323;   -999.000;   0
1968-01-01;--:--;   1113.548;   -999.000;   0
1968-02-01;--:--;    597.966;   -999.000;   0
1968-03-01;--:--;    432.387;   -999.000;   0
1968-04-01;--:--;    310.800;   -999.000;   0
1968-05-01;--:--;    484.387;   -999.000;   0
1968-06-01;--:--;    340.100;   -999.000;   0
1968-07-01;--:--;    109.968;   -999.000;   0
1968-08-01;--:--;    127.065;   -999.000;   0
1968-09-01;--:--;    297.600;   -999.000;   0
1968-10-01;--:--;    325.516;   -999.000;   0
1968-11-01;--:--;    409.267;   -999.000;   0
1968-12-01;--:--;    560.968;   -999.000;   0
1969-01-01;--:--;    733.097;   -999.000;   0
1969-02-01;--:--;    529.964;   -999.000;   0
1969-03-01;--:--;    703.290;   -999.000;   0
1969-04-01;--:--;    426.267;   -999.000;   0
1969-05-01;--:--;    829.000;   -999.000;   0
1969-06-01;--:--;    554.467;   -999.000;   0
1969-07-01;--:--;    245.419;   -999.000;   0
1969-08-01;--:--;    140.484;   -999.000;   0
1969-09-01;--:--;    204.933;   -999.000;   0
1969-10-01;--:--;    118.226;   -999.000;   0
1969-11-01;--:--;    161.633;   -999.000;   0
1969-12-01;--:--;    402.806;   -999.000;   0
1970-01-01;--:--;    510.355;   -999.000;   0
1970-02-01;--:--;   1159.821;   -999.000;   0
1970-03-01;--:--;    836.935;   -999.000;   0
1970-04-01;--:--;    747.667;   -999.000;   0
1970-05-01;--:--;    454.097;   -999.000;   0
1970-06-01;--:--;    222.933;   -999.000;   0
1970-07-01;--:--;    168.210;   -999.000;   0
1970-08-01;--:--;     82.371;   -999.000;   0
1970-09-01;--:--;     74.250;   -999.000;   0
1970-10-01;--:--;    133.226;   -999.000;   0
1970-11-01;--:--;    133.683;   -999.000;   0
1970-12-01;--:--;    200.710;   -999.000;   0
1971-01-01;--:--;    360.129;   -999.000;   0
1971-02-01;--:--;    651.107;   -999.000;   0
1971-03-01;--:--;    442.226;   -999.000;   0
1971-04-01;--:--;    579.800;   -999.000;   0
1971-05-01;--:--;    324.710;   -999.000;   0
1971-06-01;--:--;    253.967;   -999.000;   0
1971-07-01;--:--;    141.355;   -999.000;   0
1971-08-01;--:--;    123.484;   -999.000;   0
1971-09-01;--:--;     96.383;   -999.000;   0
1971-10-01;--:--;     67.581;   -999.000;   0
1971-11-01;--:--;    124.050;   -999.000;   0
1971-12-01;--:--;    192.065;   -999.000;   0
1972-01-01;--:--;    418.742;   -999.000;   0
1972-02-01;--:--;    724.759;   -999.000;   0
1972-03-01;--:--;    415.806;   -999.000;   0
1972-04-01;--:--;    291.967;   -999.000;   0
1972-05-01;--:--;    220.645;   -999.000;   0
1972-06-01;--:--;    146.733;   -999.000;   0
1972-07-01;--:--;    100.952;   -999.000;   0
1972-08-01;--:--;     81.306;   -999.000;   0
1972-09-01;--:--;     97.283;   -999.000;   0
1972-10-01;--:--;     96.161;   -999.000;   0
1972-11-01;--:--;    284.133;   -999.000;   0
1972-12-01;--:--;    363.000;   -999.000;   0
1973-01-01;--:--;    329.871;   -999.000;   0
1973-02-01;--:--;    488.750;   -999.000;   0
1973-03-01;--:--;    321.581;   -999.000;   0
1973-04-01;--:--;    245.733;   -999.000;   0
1973-05-01;--:--;    234.097;   -999.000;   0
1973-06-01;--:--;    179.367;   -999.000;   0
1973-07-01;--:--;    107.081;   -999.000;   0
1973-08-01;--:--;     95.081;   -999.000;   0
1973-09-01;--:--;     62.533;   -999.000;   0
1973-10-01;--:--;    161.500;   -999.000;   0
1973-11-01;--:--;    121.517;   -999.000;   0
1973-12-01;--:--;    486.065;   -999.000;   0
1974-01-01;--:--;    456.839;   -999.000;   0
1974-02-01;--:--;    643.750;   -999.000;   0
1974-03-01;--:--;    576.129;   -999.000;   0
1974-04-01;--:--;    320.433;   -999.000;   0
1974-05-01;--:--;    342.968;   -999.000;   0
1974-06-01;--:--;    149.600;   -999.000;   0
1974-07-01;--:--;     92.710;   -999.000;   0
1974-08-01;--:--;     44.090;   -999.000;   0
1974-09-01;--:--;    113.817;   -999.000;   0
1974-10-01;--:--;    484.387;   -999.000;   0
1974-11-01;--:--;    612.733;   -999.000;   0
1974-12-01;--:--;    737.806;   -999.000;   0
1975-01-01;--:--;    527.581;   -999.000;   0
1975-02-01;--:--;    593.500;   -999.000;   0
1975-03-01;--:--;    446.935;   -999.000;   0
1975-04-01;--:--;    522.767;   -999.000;   0
1975-05-01;--:--;    265.871;   -999.000;   0
1975-06-01;--:--;    276.333;   -999.000;   0
1975-07-01;--:--;    152.758;   -999.000;   0
1975-08-01;--:--;     83.468;   -999.000;   0
1975-09-01;--:--;    224.283;   -999.000;   0
1975-10-01;--:--;    195.065;   -999.000;   0
1975-11-01;--:--;    443.367;   -999.000;   0
1975-12-01;--:--;    537.194;   -999.000;   0
1976-01-01;--:--;    292.194;   -999.000;   0
1976-02-01;--:--;    674.793;   -999.000;   0
1976-03-01;--:--;    295.516;   -999.000;   0
1976-04-01;--:--;    168.300;   -999.000;   0
1976-05-01;--:--;    150.516;   -999.000;   0
1976-06-01;--:--;     64.493;   -999.000;   0
1976-07-01;--:--;     39.500;   -999.000;   0
1976-08-01;--:--;     32.684;   -999.000;   0
1976-09-01;--:--;    126.633;   -999.000;   0
1976-10-01;--:--;    283.065;   -999.000;   0
1976-11-01;--:--;   1187.900;   -999.000;   0
1976-12-01;--:--;    965.323;   -999.000;   0
1977-01-01;--:--;    606.419;   -999.000;   0
1977-02-01;--:--;   1399.464;   -999.000;   0
1977-03-01;--:--;    627.516;   -999.000;   0
1977-04-01;--:--;    560.467;   -999.000;   0
1977-05-01;--:--;    933.774;   -999.000;   0
1977-06-01;--:--;    746.367;   -999.000;   0
1977-07-01;--:--;    427.484;   -999.000;   0
1977-08-01;--:--;    798.290;   -999.000;   0
1977-09-01;--:--;    408.933;   -999.000;   0
1977-10-01;--:--;    270.968;   -999.000;   0
1977-11-01;--:--;    334.767;   -999.000;   0
1977-12-01;--:--;    475.935;   -999.000;   0
1978-01-01;--:--;    563.452;   -999.000;   0
1978-02-01;--:--;   1207.321;   -999.000;   0
1978-03-01;--:--;    972.258;   -999.000;   0
1978-04-01;--:--;    733.500;   -999.000;   0
1978-05-01;--:--;    688.161;   -999.000;   0
1978-06-01;--:--;    266.967;   -999.000;   0
1978-07-01;--:--;    122.113;   -999.000;   0
1978-08-01;--:--;    107.468;   -999.000;   0
1978-09-01;--:--;     76.833;   -999.000;   0
1978-10-01;--:--;     70.065;   -999.000;   0
1978-11-01;--:--;     67.800;   -999.000;   0
1978-12-01;--:--;    107.355;   -999.000;   0
1979-01-01;--:--;    403.387;   -999.000;   0
1979-02-01;--:--;    880.393;   -999.000;   0
1979-03-01;--:--;    659.516;   -999.000;   0
1979-04-01;--:--;    590.800;   -999.000;   0
1979-05-01;--:--;    546.903;   -999.000;   0
1979-06-01;--:--;    434.533;   -999.000;   0
1979-07-01;--:--;    121.823;   -999.000;   0
1979-08-01;--:--;     96.629;   -999.000;   0
1979-09-01;--:--;     93.350;   -999.000;   0
1979-10-01;--:--;    261.226;   -999.000;   0
1979-11-01;--:--;    499.967;   -999.000;   0
1979-12-01;--:--;    573.194;   -999.000;   0
1980-01-01;--:--;    678.516;   -999.000;   0
1980-02-01;--:--;    808.103;   -999.000;   0
1980-03-01;--:--;    631.645;   -999.000;   0
1980-04-01;--:--;    451.700;   -999.000;   0
1980-05-01;--:--;    276.806;   -999.000;   0
1980-06-01;--:--;    224.133;   -999.000;   0
1980-07-01;--:--;    179.548;   -999.000;   0
1980-08-01;--:--;     95.952;   -999.000;   0
1980-09-01;--:--;    170.583;   -999.000;   0
1980-10-01;--:--;    303.065;   -999.000;   0
1980-11-01;--:--;    412.667;   -999.000;   0
1980-12-01;--:--;    536.290;   -999.000;   0
1981-01-01;--:--;   1230.161;   -999.000;   0
1981-02-01;--:--;    535.250;   -999.000;   0
1981-03-01;--:--;    831.355;   -999.000;   0
1981-04-01;--:--;    689.733;   -999.000;   0
1981-05-01;--:--;    700.613;   -999.000;   0
1981-06-01;--:--;    590.967;   -999.000;   0
1981-07-01;--:--;    337.129;   -999.000;   0
1981-08-01;--:--;    170.258;   -999.000;   0
1981-09-01;--:--;    173.467;   -999.000;   0
1981-10-01;--:--;    406.452;   -999.000;   0
1981-11-01;--:--;    330.433;   -999.000;   0
1981-12-01;--:--;   1181.226;   -999.000;   0
1982-01-01;--:--;   1125.161;   -999.000;   0
1982-02-01;--:--;    494.250;   -999.000;   0
1982-03-01;--:--;    463.032;   -999.000;   0
1982-04-01;--:--;    359.067;   -999.000;   0
1982-05-01;--:--;    162.000;   -999.000;   0
1982-06-01;--:--;    122.900;   -999.000;   0
1982-07-01;--:--;     75.177;   -999.000;   0
1982-08-01;--:--;    105.919;   -999.000;   0
1982-09-01;--:--;     96.283;   -999.000;   0
1982-10-01;--:--;    279.806;   -999.000;   0
1982-11-01;--:--;    321.967;   -999.000;   0
1982-12-01;--:--;   1216.871;   -999.000;   0
1983-01-01;--:--;    535.484;   -999.000;   0
1983-02-01;--:--;    517.500;   -999.000;   0
1983-03-01;--:--;    661.355;   -999.000;   0
1983-04-01;--:--;   1051.767;   -999.000;   0
1983-05-01;--:--;   1720.323;   -999.000;   0
1983-06-01;--:--;    403.200;   -999.000;   0
1983-07-01;--:--;    149.258;   -999.000;   0
1983-08-01;--:--;    102.274;   -999.000;   0
1983-09-01;--:--;    167.800;   -999.000;   0
1983-10-01;--:--;    104.823;   -999.000;   0
1983-11-01;--:--;    109.200;   -999.000;   0
1983-12-01;--:--;    231.000;   -999.000;   0
