run_tag,timestamp,objective_value,multiplier_for_degreeDayFactor,multiplier_for_minSoilDepthFrac,multiplier_for_kSat,multiplier_for_storCap,multiplier_for_recessionCoeff,referenceEPotFactor,precipitationFactor,manningsN,floodplain_manningsN,nse_Chatly,kge_Chatly,obj_Chatly,nse_Garm,kge_Garm,obj_Garm,nse_Uch-Kurgan,kge_Uch-Kurgan,obj_Uch-Kurgan
96c0151b,2026-03-18 10:37:47,1.758928776079353,0.5034187294676196,1.4916614349275266,1.081462426560047,1.6242974284107667,0.5996572054019222,1.0652447900029867,0.9014802769270376,0.034358640291949905,0.052266769636605315,-0.7982834881444518,-1.5823917263490488,2.19033760724675,0.05763334916469676,0.19598315987398351,0.8731917454806599,-0.7921658098994229,-1.6343481411218765,2.2132569755106495
e0d1dcf0,2026-03-18 10:37:47,2.3526452629417514,2.088158802248032,0.5017550869336895,0.8030420175516114,0.9548612974419617,1.2116894224389618,1.2242231014810034,1.0273510660772598,0.07260986648436636,0.030506824574434575,-0.9507135184326531,-4.426266426754385,3.688489972593519,0.3052059950381143,0.5638319128157818,0.5654810460730519,-0.8863163214327039,-2.7216132188846616,2.8039647701586827
7e20278d,2026-03-18 10:37:47,2.0981518091803824,0.5696347301203186,1.80337795058948,0.5119912523738052,0.6047787489146301,0.5466198195165612,0.8936844561063593,0.9646714419818637,0.040848553321274274,0.054369343667029564,-0.9102139719865889,-2.8813442490709544,2.8957791105287716,0.21422747789290167,0.380148800905478,0.7028118606008102,-0.8727110103202129,-2.5190179025029185,2.6958644564115657
30006c43,2026-03-18 11:10:31,2.7557302951987466,0.7832940518667075,0.8222358936707198,0.8070334770330019,0.559119106385876,0.5105866998444633,1.7208483927965175,1.2556872712913263,0.008178125399568015,0.0286636844898411,-0.9619995422250271,-5.065884529689309,4.013942035957168,0.35533158705985174,0.5734832158552016,0.5355925985424734,-0.9459846941569451,-4.489327808036252,3.7176562510965985
e349e2c9,2026-03-18 11:10:31,2.076981793308539,0.6164315694508645,0.5389253106962173,2.5444883059922945,0.9820421096271799,0.920098595336903,0.850319051087381,0.9199729274435309,0.03769370724609006,0.0774994090004685,-0.913460753082739,-2.9237828235567167,2.9186217883197276,0.1874660811301472,0.3479137139751429,0.732310102447355,-0.8573107427084495,-2.302716235608617,2.5800134891585333
f641f0bb,2026-03-18 11:10:31,3.1828095395158886,0.8727499503297071,0.6813146427328055,0.9018029186021582,1.824944062459311,0.6490074290023021,1.143531025786344,1.7436332956113332,0.05871773176875105,0.020118162404310903,-0.9729352986885714,-6.452927240189513,4.712931269439042,0.43366816580062356,0.596177757622733,0.4850770382883217,-0.9637598004335078,-5.737080821207097,4.350420310820303
51a8d676,2026-03-18 11:43:06,0.9411758796750211,0.9524594726752758,0.6855521192993831,0.9740031383195253,2.9427661641669838,1.7785913021809467,0.7998466108400865,0.5277294766377613,0.011604755090701701,0.04265805493712951,0.10823500156165576,0.559714093066541,0.6660254526859016,-0.22623863993489854,-0.12562785942382781,1.175933249679363,-0.23931167207192927,0.27617379875233106,0.981568936659799
35a434c8,2026-03-18 11:43:06,1.6081549990544115,0.5697639243267644,1.2634409855540425,2.3104133036957006,2.2957003739796096,1.2377106024550315,0.8496741833621051,0.8298582542648146,0.02439893770746395,0.0830790229375871,-0.7541623678456906,-1.2883743488846546,2.0212683583651727,-0.040628151074495876,0.08663440066345995,0.976996875205518,-0.6804603456453633,-0.9719391815397236,1.8261997635925433
7f5e90f8,2026-03-18 11:43:06,2.879084977281091,0.5044236791445021,1.9650849147774527,2.06498414650791,0.899395554631385,1.5989958495662937,1.2010795825237373,1.3679044584446567,0.008695866279671132,0.08171989490413083,-0.9656403789720238,-5.27219075259846,4.118915565785242,0.3574755060638435,0.5180211329532474,0.5622516804914546,-0.9537408560919328,-4.958434515041222,3.956087685566577
f01f5549,2026-03-18 12:13:46,2.050161301054431,0.632274161445046,3.022990265680792,3.1270892121274847,0.5034199763818319,0.5316535655593911,0.8066326943276076,0.9091198613084835,0.04221241057565554,0.07523688849550934,-0.9085419181065061,-2.7816786343074926,2.8451102762069995,0.15771875343487435,0.3305653197366847,0.7558579634142205,-0.8512704321533088,-2.247760894930835,2.549515663542072
ab6ea9b1,2026-03-18 12:13:46,1.5651395385347577,1.6149161706649124,1.2205921352537263,1.4546340138309606,0.6185439738698978,0.509001460178966,0.7567055785310834,0.5758238080731143,0.024734958423640298,0.06285025489090218,-0.8125125310360725,-1.4966238171362534,2.1545681740861626,0.06900612610155053,0.3219528925378322,0.8045204906803086,-0.6482861851101953,-0.824373716565409,1.7363299508378023
a0e0681f,2026-03-18 12:13:46,2.9098790885824073,1.7614851613640106,1.903468032962271,0.8525570244801531,1.5211892485041913,0.6978838887722201,0.5358803482323155,1.454830852538323,0.05310472669571237,0.05368885961282593,-0.9699933954483384,-6.128904722818315,4.549449059133327,0.41554111283556994,0.6090820287443318,0.4876884292100491,-0.944578039778321,-4.440421515029371,3.692499777403846
d062e08c,2026-03-18 12:45:22,2.2860396877055633,0.5218831448491417,0.8398426868058931,2.1554709814502533,1.2070594813967168,2.034470177958716,0.9521946212215713,1.0403421626773277,0.01435336326166475,0.0730895675168739,-0.9337100318898378,-3.4632745991797327,3.1984923155347853,0.21861509022289974,0.36350528655331127,0.7089398116118946,-0.9016036088818644,-2.9997702630581555,2.95068693597001
dae84bc0,2026-03-18 12:45:22,0.8997832398344169,0.5130635789583529,0.921060232260347,0.7434930760608932,3.8563769944373343,1.9436130745419904,0.8496641724245906,0.6188352319446476,0.022523651821423338,0.02513001320667562,0.38344721106110796,0.7130904993691344,0.4517311447848788,-0.30038448183261157,-0.23881358150833965,1.2695990316704755,-0.24292544529425575,0.28688635919846284,0.9780195430478964
bce46399,2026-03-18 12:45:22,1.0044518596218455,1.3534247921246254,0.863216823699793,1.3461720484955308,2.0284930531580354,2.444935267390548,0.9509319973761887,0.5017498639736993,0.019296706294267236,0.062396701056583154,-0.3080020274422912,0.03522201013103354,1.136390008655629,-0.10273967902431085,0.047440005518413764,1.0276498367529485,-0.03969608740031268,0.34106462048639485,0.849315733456959
5dd5957d,2026-03-18 13:17:16,0.925158809223201,1.3628090225291731,1.1935033865786546,0.5054851172511008,2.4499088914068308,1.5623205991317262,0.754251268586594,0.5130034700389311,0.027522315436330692,0.05738759558593493,-0.006443341648183323,0.3700576109442527,0.8181928653519652,-0.16140525091684396,-0.029137309773902054,1.095271280345373,-0.08668530805190879,0.3626607441073787,0.8620122819722651
48e23c90,2026-03-18 13:17:16,0.9217385460059834,0.7817945505708455,2.2122169459846672,0.8087582995910492,3.2421646212437474,2.019142546851602,0.676423026706281,0.5473387145884493,0.014182672287733247,0.05498315766792084,0.2222177896307644,0.664289502580838,0.5567463538941988,-0.26392915876901135,-0.18100931294619937,1.2224692358576053,-0.24749502305611418,0.27549492652382235,0.986000048266146
0fe98f65,2026-03-18 13:17:16,0.9127885880102872,0.6043526380581359,0.9263752838473969,1.285390504918972,2.8352161150855775,2.0077019508825464,0.5000742141318643,0.5007314828594585,0.006853564779063737,0.04310712163836133,0.20673015692924118,0.6399433233779965,0.5766632598463811,-0.24738907308737035,-0.1582185704309773,1.2028038217591739,-0.22039016439861728,0.3025927995480039,0.9588986824253067
f2c80aa4,2026-03-18 13:52:56,1.0447758912190357,0.8388773821655326,2.002548435678035,0.9911334640859126,4.243937832885028,1.6672966604724802,0.5372374154129765,0.5029457911060357,0.012774265914825236,0.008307701324456511,0.12930485936870983,0.4470944607555838,0.7118003399378532,-0.3280381889068458,-0.2823281064337233,1.3051831476702844,-0.2950930007390846,0.060404628641145486,1.1173441860489697
bf791ce6,2026-03-18 13:52:56,0.9356163781177135,1.0712370077147262,2.6513679008445057,1.2856876408479747,3.27809333709326,0.5245226137675364,0.8371655328271884,0.5091121155282584,0.006212913401005378,0.07065377487672722,0.17705939850105415,0.6002460916517941,0.6113472549235759,-0.26421781052775745,-0.18184581589694626,1.2230318132123519,-0.21731228273363437,0.27237215029920914,0.9724700662172127
c6cf4f56,2026-03-18 13:52:56,0.93620017226263,1.076258771307751,2.1101971246786375,0.6426956663687147,2.5525288891388116,2.451936100555246,0.7122369663447976,0.5031492053057841,0.011479050882355681,0.04389809785846004,0.02103473499116402,0.49260868033291993,0.743178292337958,-0.2022491244583369,-0.08732641408631237,1.1447877692723245,-0.16782938868488897,0.32656047832967405,0.9206344551776074
edb4a516,2026-03-18 14:27:07,1.0169789078184717,2.121400733603669,0.5119797507283728,0.6003543742511317,2.9969038475734338,0.7049334130058,1.3322345094645323,0.5561416717274399,0.010334737913128812,0.05783546694379512,-0.1524832173583914,0.30647754797132865,0.9230028346935314,-0.1499663605273853,-0.02363156246905529,1.0867989614982203,-0.2876353799765133,0.20536552544918596,1.0411349272636636
2420771c,2026-03-18 14:27:07,0.7940835218030368,0.544380531816976,0.5992169020948513,2.757519856670378,3.2196392540059744,1.2943586570279273,0.589514007003282,0.5175458209770435,0.04100284109941473,0.018162154655952403,0.5637153478312456,0.7944800851924344,0.32090228348816,-0.27401997130145234,-0.20212978939051007,1.2380748803459811,-0.06149176902064515,0.4149449658707073,0.823273401574969
727197ea,2026-03-18 14:27:07,1.0981893111035423,1.6211874943176854,1.4789317729321851,1.1345221152826834,3.6458683474629314,1.773214186728917,1.149346063698501,0.7182977512874116,0.02712881950603997,0.03755611185669123,-0.1830124785363047,0.10408527831125292,1.039463600112526,-0.1714538563789992,-0.051652205352630265,1.1115530308658146,-0.3508491374449531,0.06374653278038056,1.1435513023322863
63cb8097,2026-03-18 15:01:49,1.7866580879277099,0.9629501575112144,1.4122512855611795,4.302999817362794,2.2783656889664896,1.9479278025882827,0.5081274977499555,0.8432456448363607,0.07491311023172695,0.013392190402455685,-0.8786055559342435,-2.2934894477963863,2.586047501865315,0.05773326345525488,0.2010758789320285,0.8705954288063583,-0.6998550112394613,-1.1068076549834527,1.903331333111457
26dafdbe,2026-03-18 15:01:49,1.0371550631228728,0.5000092092854702,1.5507165596463268,1.8419512643713598,3.989897044588832,1.457180949645596,0.6205321059684138,0.5003630221343066,0.04020879369606222,0.014626747993489456,0.15193560300317716,0.3864537204789372,0.7308053382589428,-0.33814213158523854,-0.30009423379106415,1.3191181826881513,-0.24099825816903134,0.11791492132598358,1.061541668421524
84a8cc68,2026-03-18 15:01:49,1.2683984908190726,2.0438842061022227,0.5973748426272173,1.410911498158193,1.5898221849201561,0.500568777362159,0.6996938638035959,0.5241785251095953,0.00500995630469807,0.03281994796103987,-0.6664970730988168,-0.7196030860025244,1.6930500795506707,0.006856491249420566,0.200010292161787,0.8965666082943962,-0.3602240068921416,-0.07093356233216053,1.215578784612151
2a38c525,2026-03-18 15:37:25,1.7198133684731982,0.5803367263455597,1.055083323043037,2.542107961919094,2.7692169389475754,2.701447851317147,0.7503350489879368,0.935261787275945,0.027231296598958423,0.025793831335261374,-0.789109954159926,-1.511328966751913,2.1502194604559195,-0.06847613664699692,0.06126764659191264,1.003604245027542,-0.7491016541213021,-1.2621311457509656,2.005616399936134
85a19777,2026-03-18 15:37:25,1.0008350094017933,2.4706359531486957,0.5027938745982933,2.072978233371355,4.215033142023424,1.1850806712707156,0.5323260847732119,0.628357041230321,0.005160726327536221,0.03607672153592688,-0.05335223791195512,0.40272670161821866,0.8253127681468682,-0.19569212577537373,-0.08871344016348859,1.1422027829694312,-0.2994038621620161,0.22942490798385573,1.0349894770890802
c83f2515,2026-03-18 15:37:25,1.166259074374438,0.9128889279063281,1.596555627719229,3.189149509286058,3.7232977805962815,0.5955097375114659,0.6787074013441287,0.7409128971154236,0.03580771238325204,0.033338834183837915,-0.29837833107447004,-0.1441283882902502,1.2212533596823603,-0.2177119245678159,-0.11967210480503865,1.1686920146864272,-0.3195338822024052,0.10187018469335185,1.1088318487545266
3518b0f8,2026-03-18 16:13:35,1.0292180573037695,0.5358388108223568,0.6294869321183353,1.7631694980872292,4.191853937220736,1.2016517594472556,0.5371093100542644,0.7277953167125806,0.006566456155810783,0.01797457756786941,0.24696913009931015,0.55091479654396,0.6010580366783649,-0.28954655557945513,-0.22041216256558105,1.254979359072518,-0.4539695180422985,-0.009264034278552602,1.2316167761604255
9713e783,2026-03-18 16:13:35,0.9540238713974297,1.41412358133435,0.5337237452639323,1.4543716621876661,4.93136983095063,0.8332203479752733,0.7405469046971296,0.6116949272441932,0.02186361956375525,0.05289986736728138,0.2661861859942928,0.5947894041994747,0.5695122049031163,-0.298592167203565,-0.23574014545084498,1.267166156327205,-0.23240375640183847,0.181617250477902,1.0253932529619683
f4f67405,2026-03-18 16:13:35,1.209484323040706,0.8318014060428183,1.3386226560752943,0.867962494230569,4.998316016380248,3.2093221482027756,0.5286535158192476,0.8689806386092576,0.00501119575080551,0.005682231185557405,-0.11021975567746123,0.1990497642318415,0.95558499572281,-0.269970437876314,-0.18613974659937083,1.2280550922378424,-0.5808821859863221,-0.30874357633660887,1.4448128811614656
0b873c40,2026-03-18 16:45:37,1.0454856410030937,2.3697172852802693,2.056361748080882,1.3351480205703683,3.988126166788439,2.4309207928222794,0.5550767282874428,0.6801197194483164,0.011354559723791617,0.008029478140861749,-0.12390275176008822,0.3291473551789075,0.8973776982905903,-0.17530910571879382,-0.058585564692295256,1.1169473352055446,-0.3684591274175712,0.12419534839127866,1.1221318895131462
9e8ce423,2026-03-18 16:45:37,0.8918242406579798,0.5006978886623844,1.0513105172669373,2.8992508440331335,3.649191130372155,1.2316807705466357,0.9630394203223326,0.5016415825982119,0.03168050289044154,0.06310492329944983,0.4820827182084991,0.6725772086353721,0.42267003657806446,-0.31275269426733926,-0.2613640954985854,1.2870583948829624,-0.1824242729401437,0.2509356919143185,0.9657442905129126
66ed67c6,2026-03-18 16:45:37,0.9788852929860763,1.155182289195153,0.6870736660899486,2.07373290886866,4.539753861084041,1.159849799990858,0.5034386202434109,0.5431828288764051,0.031980090422275606,0.05014864247004454,0.28741326727485744,0.5427314084865446,0.5849276621192989,-0.3145279192279728,-0.2616439728707407,1.2880859460493568,-0.24819468073014225,0.12091013915099547,1.0636422707895734
