run_tag,timestamp,objective_value,referenceEPotFactor,precipitationFactor,temperatureFactor,maximize_irrigation_threshold,manningsN,multiplier_for_storCap,multiplier_for_recessionCoeff,multiplier_for_kSat,multiplier_for_minSoilDepthFrac,nse_Chatly,kge_Chatly,obj_Chatly,nse_Garm,kge_Garm,obj_Garm,nse_Uch-Kurgan,kge_Uch-Kurgan,obj_Uch-Kurgan
178cd36b,2026-03-24 10:58:07,1.453655360211587,1.362719600749344,0.8324929553418082,0.9912463118911827,0.49799383544186493,0.044468998918155866,3.6726693044430103,1.0820531982317796,4.544677886101565,0.5842254473627525,-0.6359150296797481,-0.7972208723793193,1.7165679510295337,-0.2522484615587644,-0.17527589577066038,1.2137621786647124,-0.5137190621981129,-0.3475528396829155,1.4306359509405142
637544df,2026-03-24 10:58:07,2.0305201732086506,0.7398435267696628,1.1201839063156176,1.0036205522915576,0.5277465523738119,0.03101691329679899,3.1957343700089607,0.7049104746021915,2.732777698039732,1.5810575091023569,-0.8921923738317664,-2.6558247971902653,2.774008585511016,0.06783281487961818,0.21711096299411248,0.8575281110631348,-0.8475854956631139,-2.0724621504404883,2.460023823051801
4362b540,2026-03-24 10:58:07,1.5649117479301158,0.841780759968502,1.1963812768107618,0.9723948961429354,0.4541295789440933,0.029018762611056074,2.6810533683190783,0.8940143259455913,3.0401946310077284,1.6806531210698215,-0.7042300440140917,-1.0636179270793145,1.8839239855467032,-0.3212211189919039,-0.2751915696467282,1.2982063443193161,-0.582969197563926,-0.4422406302847304,1.5126049139243283
bedbee13,2026-03-24 11:36:01,1.1639634081817702,0.957583316776569,0.9215234033251507,0.9399198702843485,0.5366641805537471,0.016963433164480915,3.4305930773590325,3.230899886834,3.886629399572418,0.5522108631018391,0.35381670685722866,0.5573930526821189,0.5443951202303262,-0.3954555259615604,-0.42583511926074014,1.4106453226111504,-0.4587127779013525,-0.6149867855063158,1.5368497817038342
10b657f3,2026-03-24 11:36:01,1.2853277793429907,0.866236794561815,0.8685305559289691,1.0686439247107686,0.49920187153898576,0.038313192568223506,2.550957153262144,0.7599187823305924,2.890754553762161,2.776287794759034,-0.8471720103830622,-1.4113506478094147,2.1292613290962383,0.1714230365225668,0.41932811132272974,0.7046244260773518,-0.28520021370713017,0.24100504799636535,1.0220975828553824
088c95c5,2026-03-24 11:36:01,1.1771271861718677,0.9277646839555691,0.956546551786176,0.9914237100903557,0.45752591777215484,0.022633754526574106,4.9956659947306745,1.767061813873979,1.4851928938605856,0.5392780606210038,0.041162224989752076,0.29107947123921574,0.8338791518855161,-0.3169368054893732,-0.2654099652606854,1.2911733853750293,-0.5419789626788775,-0.2706790798312382,1.4063290212550577
7f14f91a,2026-03-24 12:12:01,1.6449174676470835,0.6942022729251173,1.0266633980934725,0.9021276472688124,0.5192685901518016,0.05743749776718869,3.803252245668718,2.2902983263365853,4.749490225480887,1.629800905200483,-0.4292386833443244,-0.811623634886961,1.6204311591156428,-0.4017783524997014,-0.9632064635467967,1.682492408023249,-0.4682736672910796,-0.7953840043136373,1.6318288358023585
fe00d069,2026-03-24 12:12:01,0.9501448496629396,1.3269393413990125,0.9379139248319539,0.9801630045117938,0.5643319434672577,0.053004808436523144,4.298842027064155,1.9339753735212997,1.9876232665232274,1.732231463800759,0.4251349477251348,0.6645825552199673,0.4551412485274489,-0.3627734893112855,-0.3455012582599759,1.3541373737856306,-0.3023778908257952,0.22006603747431652,1.0411559266757393
29a3f053,2026-03-24 12:12:01,1.5476888347612803,1.3278736463198744,1.1328938810907812,0.9772616472626285,0.488811062136302,0.048178491642646926,3.514193709582085,1.7276064202261043,3.318093968145562,0.5428957359887489,-0.6700034445838637,-0.9221182087646491,1.7960608266742564,-0.3326855824571422,-0.2915711471024103,1.3121283647797761,-0.5968786920110173,-0.47287593364859903,1.534877312829808
cff478bd,2026-03-24 12:49:03,1.6968398526180444,0.6457366848805002,0.7484080181017383,0.9045828272744701,0.43737893331870836,0.02288249947168222,4.435144773386563,3.047365409037928,4.102875165436961,3.0856553620150575,-0.45865804799129456,-1.0052919009626873,1.7319749744769908,-0.40393017703449813,-0.9754558473453965,1.6896930121899474,-0.47107486689284006,-0.8666282754815493,1.6688515711871945
