run_tag,timestamp,objective_value,referenceEPotFactor,precipitationFactor,temperatureFactor,temperatureConstant,maximize_irrigation_threshold,manningsN,multiplier_for_storCap,multiplier_for_recessionCoeff,multiplier_for_kSat,nse_Chatly,kge_Chatly,obj_Chatly,nse_Garm,kge_Garm,obj_Garm,nse_Uch-Kurgan,kge_Uch-Kurgan,obj_Uch-Kurgan
45634a8e,2026-03-19 12:43:03,1.299199818861525,0.841780759968502,1.1963812768107618,0.9723948961429354,-274.9848168422362,0.4768816054969601,0.03326668222006941,2.8940143259455913,1.0401946310077288,3.6806531210698217,-0.5649478253423856,-0.6481501022086771,1.6065489637755315,-0.3671056839372334,-0.3588158958835215,1.3629607899103775,-0.1824407586489366,0.3262613528516045,0.9280897028986661
d8269741,2026-03-19 12:43:03,1.4802036393840359,1.362719600749344,0.8324929553418082,0.9912463118911827,-273.2302465823254,0.5094084187750649,0.05420079642713022,3.08205319823178,2.5446778861015646,2.550323269315322,-0.6237168380584687,-0.8579013004230949,1.7408090692407818,-0.27321074492232056,-0.198866216833542,1.2360384808779312,-0.45911284146383946,-0.4684138946029497,1.4637633680333946
9673f6f3,2026-03-19 12:43:03,2.027458002271555,0.7398435267696628,1.1201839063156176,1.0036205522915576,-272.0401379050475,0.4810882385195768,0.044132170033522496,2.704440830781113,0.732777698039732,3.581057509102357,-0.9107721660811265,-3.0162107500241246,2.9634914580526255,0.0709851538322512,0.19554011766274826,0.8667373642525003,-0.7986510065997908,-1.7056393624192898,2.2521451845095406
4bb51912,2026-03-19 13:40:38,1.2771228105531622,0.957583316776569,0.9215234033251507,0.9399198702843485,-271.6834327778501,0.4515019645568019,0.049090298299801785,4.99996132370594,1.8866293995724182,2.0582287454673587,0.017750881149771563,0.2552975451661159,0.8634757868420563,-0.39962410388654696,-0.546170901849609,1.472897502868078,-0.4637381775308849,-0.5262521063678203,1.4949951419493526
129e8a19,2026-03-19 13:40:38,1.2251269187283957,0.866236794561815,0.8685305559289691,1.0686439247107686,-273.18192513844053,0.4964488264594179,0.03052020656886747,2.7599187823305926,0.8907545537621606,4.776285952075321,-0.75267392293473,-0.7678966782597481,1.7602853005972392,0.034679839124140896,0.1882514396192596,0.8885343606282998,-0.2214558285720575,0.16833363865276174,1.026561094959648
a1e44228,2026-03-19 13:40:38,1.5562718049468491,0.9277646839555691,0.956546551786176,0.9914237100903557,-274.8489632891138,0.4634394832138402,0.08565373154377945,3.7670618138739793,1.0648071061394144,2.4630166337293153,-0.6490569694131136,-0.8514790593352959,1.7502680143742047,-0.3046755910505732,-0.2449743921525691,1.2748249916015713,-0.5824980982788607,-0.7049467194506813,1.643722408864771
a3149651,2026-03-19 14:40:27,1.1136409151795752,0.5637323305169751,0.7898916167904884,1.035883993698653,-273.90944765511574,0.4471056918484684,0.041551138328870134,3.0581304291627984,0.7567208165155502,4.977820956315757,-0.6288948560478652,-0.4389956474177119,1.5339452517327885,-0.07257714435700931,0.07682341173933027,0.9978768663088395,-0.07520894826909336,0.45700769327489776,0.8091006274970978
308d3ea4,2026-03-19 14:40:27,1.2887627598780902,0.5217368151579657,0.8421563065374192,1.0936035287182553,-273.41810722336515,0.455001603680193,0.012498709503647794,2.5122411525658053,2.0612453457006303,3.903993350774762,-0.7303961562233038,-0.7023886705771698,1.7163924134002368,-0.015755694267865394,0.14757827081651276,0.9340887117256763,-0.33134343343858336,-0.10027087557813186,1.2158071545083575
d75c0c99,2026-03-19 14:40:27,1.4294176108379542,0.9987518850178229,1.1039864996855244,0.9761950274769521,-273.7140375810457,0.400726995544854,0.031527586515516313,4.316243104974867,0.9224930817451825,4.946122875011868,-0.5783657095919553,-0.676546391438483,1.6274560505152191,-0.35295930961120725,-0.3281501335788397,1.3405547215950233,-0.4478255007045696,-0.19265862010266877,1.3202420604036194
ba77170b,2026-03-19 15:30:32,1.2124841917720564,1.260834275552282,0.9174226055110545,1.082622493129772,-275.10844220575734,0.4457828802721968,0.03397399592991022,4.8344266702963825,0.8018038692988245,1.7601754025178225,-0.7066550669527656,-0.5984160614472405,1.652535564200003,-0.008141202039237235,0.16463517340375622,0.9217530143177406,-0.24380671813924584,0.11747872454239516,1.0631639967984254
711e726c,2026-03-19 15:30:32,1.2095612520697798,0.7432241888109525,0.9767543514398541,1.0631802290797712,-272.4093753590478,0.5324009139194354,0.04107504650956056,3.1236180093801047,0.5557563076939087,3.4633231526236163,-0.77832920335998,-0.892148288872004,1.835238746115992,0.04957750950977696,0.2148901159641886,0.8677661872630171,-0.17534130629630934,0.3239836606356481,0.9256788228303306
5a2c7017,2026-03-19 15:30:32,1.4921018528997436,0.7444342684024416,0.8832174085856117,0.9771684943582738,-271.25287735190597,0.4924253943415424,0.03351770409324893,2.494693629152014,0.5147455390094356,3.8488162139772584,-0.5865207222070035,-0.7001002711192397,1.6433104966631216,-0.31314517631615674,-0.2623966101888229,1.2877708932524898,-0.5361282572149573,-0.554320080352281,1.5452241687836192
