Area;Elevation
197360134344,83017;252,0
197364238315,04395;253,0
197368097926,7259;254,0
197372239490,55994;255,0
197376650475,33932;256,0
197381011335,29166;257,0
197385647881,7927;258,0
197389989944,93488;259,0
197393699182,1357;260,0
197397903402,00354;261,0
197401499858,34354;262,0
197404983533,8227;263,0
197408717833,43704;264,0
197412734085,2035;265,0
197416198963,87253;266,0
197420259074,86264;267,0
197424231467,40543;268,0
197427997095,03668;269,0
197432514595,07352;270,0
197436010801,75943;271,0
197439713773,35687;272,0
197443134792,80225;273,0
197447038263,70786;274,0
197451060781,07767;275,0
197455271266,5489;276,0
197459281252,71194;277,0
197462645881,7269;278,0
197465709761,7796;279,0
197468610736,14444;280,0
197471586897,74985;281,0
197474281107,20316;282,0
197477125691,13757;283,0
197479650729,29962;284,0
197482213361,08197;285,0
197484901304,93192;286,0
197487965184,98462;287,0
197491004002,6238;288,0
197493648087,2501;289,0
197496354827,91016;290,0
197498911194,0891;291,0
197501429966,6478;292,0
197504249488,1687;293,0
197506649214,26315;294,0
197509142924,40833;295,0
197511555181,70953;296,0
197514061423,06146;297,0
197516736835,70462;298,0
197518810750,42334;299,0
197521160351,69077;300,0
197523553812,18185;301,0
197525608930,09042;302,0
197527808156,87674;303,0
197529650244,2704;304,0
197531316894,7694;305,0
197533190310,17996;306,0
197535088788,00403;307,0
197536887016,17404;308,0
197538760431,5846;309,0
197540865674,3202;310,0
197542757886,5409;311,0
197544706489,19202;312,0
197546135046,7626;313,0
197547469620,2825;314,0
197548985896,3004;315,0
197550583625,16226;316,0
197551811683,4247;317,0
197552964554,4466;318,0
197554136222,27863;319,0
197555257765,2836;320,0
197556510885,95956;321,0
197557488320,08682;322,0
197558321645,33633;323,0
197559060986,53516;324,0
197559950702,2151;325,0
197560690043,4139;326,0
197561379259,78568;327,0
197562081007,3642;328,0
197562757692,5292;329,0
197563296534,41986;330,0
197564004547,60178;331,0
197564624842,33636;332,0
197565251402,67435;333,0
197565752650,94473;334,0
197566341617,66245;335,0
197567018302,82745;336,0
197567494488,68433;337,0
197568089721,0054;338,0
197568703750,13663;339,0
197569236326,42392;340,0
197569856621,1585;341,0
197570332807,01538;342,0
197570877914,50943;343,0
197571266381,91898;344,0
197571717505,36234;345,0
197572168628,8057;346,0
197572600955,4389;347,0
197573033282,0721;348,0
197573371624,65463;349,0
197573904200,94193;350,0
197574242543,52444;351,0
197574599682,91708;352,0
197574912963,08606;353,0
197575245040,0652;354,0
197575708694,7153;355,0
197576021974,88428;356,0
197576366583,07016;357,0
197576761316,0831;358,0
197577011940,2183;359,0
197577375345,21432;360,0
197577663562,9698;361,0
197577989374,34555;362,0
197578227467,274;363,0
197578553278,64975;364,0
197578935480,4559;365,0
197579261291,83167;366,0
197579593368,8108;367,0
197579869055,3595;368,0
197580075820,27103;369,0
197580251257,16565;370,0
197580677318,19547;371,0
197580902879,91714;372,0
197581178566,46585;373,0
197581466784,2213;374,0
197581786329,99368;375,0
197582249984,6438;376,0
197582619655,2432;377,0
197582951732,22232;378,0
197583252481,18454;379,0
197583484308,50958;380,0
197583803854,28195;381,0
197584004353,59012;382,0
197584135931,2611;383,0
197584348961,77603;384,0
197584518133,0673;385,0
197584756225,99573;386,0
197584975522,114;387,0
197585182287,02554;388,0
197585401583,14383;389,0
197585533160,81482;390,0
197585664738,4858;391,0
197585808847,36356;392,0
197585946690,6379;393,0
197586109596,32578;394,0
197586272502,01364;395,0
197586347689,2542;396,0
197586391548,47787;397,0
197586460470,11505;398,0
197586516860,54547;399,0
197586585782,18265;400,0
197586635907,00967;401,0
197586717359,8536;402,0
197586773750,28403;403,0
197586792547,09418;404,0
197586842671,9212;405,0
197586905327,955;406,0
197586955452,782;407,0
197586999312,00568;408,0
197587030640,02258;409,0
197587074499,24625;410,0
197587105827,26315;411,0
197587174748,90033;412,0
197587206076,91724;413,0
197587256201,74426;414,0
197587281264,15778;415,0
197587318857,77805;416,0
197587325123,38144;417,0
197587356451,39835;418,0
197587387779,41525;419,0
197587412841,82877;420,0
197587437904,24228;421,0
197587450435,44904;422,0
197587475497,86255;423,0
197587513091,48282;424,0
197587544419,49973;425,0
197587569481,91324;426,0
197587569481,91324;427,0
197587575747,51663;428,0
197587600809,93015;429,0
197587613341,1369;430,0
197587632137,94705;431,0
197587663465,96396;432,0
197587669731,56735;433,0
197587688528,3775;434,0
197587701059,58426;435,0
197587701059,58426;436,0
197587701059,58426;437,0
197587713590,79102;438,0
197587732387,60117;439,0
197587757450,01468;440,0
197587757450,01468;441,0
