run_tag,timestamp,objective_value,referenceEPotFactor,precipitationFactor,temperatureFactor,temperatureConstant,maximize_irrigation_threshold,manningsN,multiplier_for_storCap,multiplier_for_recessionCoeff,multiplier_for_kSat,nse_Chatly,kge_Chatly,obj_Chatly,nse_Garm,kge_Garm,obj_Garm,nse_Uch-Kurgan,kge_Uch-Kurgan,obj_Uch-Kurgan
84180232,2026-03-18 21:56:26,1.856221314347507,0.7398435267696628,1.1201839063156176,1.0072411045831153,-272.0401379050475,0.4810882385195768,0.044132170033522496,2.704440830781113,0.732777698039732,3.581057509102357,-0.896125798424156,-2.699780851724005,2.7979533250740807,0.1804323228632574,0.3162432858884082,0.7516621956241671,-0.7413878677817537,-1.2967089769067925,2.019048422344273
fd733e59,2026-03-18 21:56:26,0.9753617763179402,1.362719600749344,0.8324929553418082,0.9824926237823655,-273.2302465823254,0.5094084187750649,0.05420079642713022,3.08205319823178,2.5446778861015646,2.550323269315322,0.23440425594131029,0.43730924839884244,0.6641432478299236,-0.3462559605866698,-0.31306320819812616,1.329659584392398,-0.17807997646188994,0.3135149829988919,0.932282496731499
bc765a11,2026-03-18 21:56:26,1.1425988749718872,0.841780759968502,1.1963812768107618,0.9447897922858708,-274.9848168422362,0.4768816054969601,0.03326668222006941,2.8940143259455913,1.0401946310077288,3.6806531210698217,0.402441127977939,0.61448715600393,0.4915358580090655,-0.395962251385271,-0.44108074569537914,1.4185214985403252,-0.46424331300768007,-0.5712352237248619,1.517739268366271
620afdae,2026-03-18 22:33:17,0.925244027071348,0.9277646839555691,0.956546551786176,0.9828474201807113,-274.8489632891138,0.4634394832138402,0.08565373154377945,3.7670618138739793,1.0648071061394144,2.4630166337293153,0.37417437080633015,0.7023572581685766,0.46173418551254664,-0.373534278572828,-0.3702550762952961,1.371894677434062,-0.21315451867137894,0.32894808213650806,0.9421032182674355
53e18639,2026-03-18 22:33:17,1.4869190718065546,0.866236794561815,0.8685305559289691,1.1372878494215373,-273.18192513844053,0.4964488264594179,0.03052020656886747,2.7599187823305926,0.8907545537621606,4.776285952075321,-0.6736718187441489,-0.6709384406220713,1.6723051296831102,-0.4620914907107718,-0.10501199994428378,1.2835517453275278,-0.4445099860458791,-0.565290694772171,1.504900340409025
22ece010,2026-03-18 22:33:17,nan,0.957583316776569,0.9215234033251507,0.8798397405686971,-271.6834327778501,0.4515019645568019,0.049090298299801785,4.99996132370594,1.8866293995724182,2.0582287454673587,-0.44347601279874926,-0.9144093714721502,1.6789426921354496,-0.404522252907729,nan,nan,-0.4751320766503006,-0.6658902643019753,1.5705111704761379
9a3709e7,2026-03-18 23:06:53,1.0542555789375854,0.905954396552402,0.507286209417116,1.0003298457618113,-274.1614733528943,0.44789210122250483,0.04519607076593813,3.556125218357618,1.1734687087844216,0.6814442199801433,0.09624948585056924,0.3930455690675885,0.7553524725409211,-0.3318711872338274,-0.2866552956771271,1.3092632414554772,-0.2515614107501323,0.055259365117417136,1.0981510228163576
03f45a7c,2026-03-18 23:06:53,1.7888978347829347,0.8997762409474592,1.2168802039236444,1.0109456869905076,-272.45537737424803,0.40653964358620526,0.06923406493824698,3.410144602785145,2.246825859129169,2.391034544242014,-0.8682310141813585,-2.287726522307281,2.5779787682443196,0.09281971805587888,0.27487116530496714,0.8161545583195771,-0.7372862363726345,-1.2078341191971793,1.9725601777849069
7866e483,2026-03-18 23:06:53,1.2395023404485819,1.4006630809926879,0.9361698938461169,1.0293817133054748,-273.4345572840771,0.46397517043987896,0.045905887069718695,3.0417221194754864,1.2356504268470094,1.786127104179002,-0.6791182733625416,-0.7658280502381676,1.7224731618003546,0.010951547390510253,0.20594850689182176,0.891549972858834,-0.32967575401009097,0.12070798063697807,1.1044838866865565
6f568335,2026-03-18 23:42:37,1.6759796789907415,1.5789265525320024,0.8957194947573841,0.8550604795552534,-274.51313559580217,0.47272856492427534,0.08449415100689232,3.709209421380719,0.5000001860804701,2.348578109339363,-0.4600532872485897,-1.0986255818238853,1.7793394345362374,-0.4044572580360317,-0.9858808981182778,1.695169078077155,-0.4751517907121868,-0.6317092580054782,1.5534305243588324
596d96bc,2026-03-18 23:42:37,1.0343491123094781,1.4732757380265675,1.335363065406085,0.9820966447688109,-275.154015143698,0.498346694523642,0.07964803323743812,4.841204060196407,2.2858530326974282,2.2526916865023874,0.23098619699159895,0.48553016660295156,0.6417418182027248,-0.36993333916476095,-0.3638318781687597,1.3668826086667605,-0.358845006510705,0.1699991863928063,1.0944229100589493
2efad2f7,2026-03-18 23:42:37,1.3463304132991727,0.6668658289303668,0.4727448750763671,1.077876729303269,-277.1315774981967,0.44553955009882656,0.06336139528954844,4.94348359343291,1.2539653602283116,4.449623197261385,-0.4236328651126822,-0.6834647934209133,1.5535488292667976,-0.07814224380959757,0.06807845305883387,1.0050318953753818,-0.4564039786228881,-0.5044170518877886,1.4804105152553384
cf67450a,2026-03-19 00:14:19,1.8217710043953905,1.298025558650778,1.2826453394510595,1.0189762649306098,-277.08388692446744,0.48751888801254023,0.0999337384146858,3.8340129287859717,1.6764116916128287,1.90482985917227,-0.8499712405598546,-2.019031175572528,2.4345012080661914,-0.02435824198577659,0.13327273025615727,0.9455427558648097,-0.7736483634259484,-1.3968897350843914,2.08526904925517
