time,PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11
2030-01-01 00:00:00+00:00,,-8.188796862818037e-12,-3.831771705486986e-11,-9.443496332139922e-12,6.169977723180509e-14,4.58325495882473e-14,3.74342646724396e-13,9.42884254356781e-16,3.9919456629178285e-14,1.617120892184428e-15,1.0345362262166591e-13,0.0
2030-01-02 00:00:00+00:00,,-8.119922269289592e-12,-3.869714618187636e-11,-9.426718086680275e-12,6.661164675403342e-14,4.071704656923546e-14,4.128749750940963e-13,9.372047925663225e-16,4.2457357074532354e-14,1.600379603619302e-15,1.1033555525393618e-13,0.0
2030-01-03 00:00:00+00:00,,-8.372049581373275e-12,-4.553877067103862e-11,-9.564946057416535e-12,6.66281266270552e-14,3.313543761747882e-14,-5.354329246642919e-08,9.30215817839409e-16,4.2483377926672006e-14,1.5776559331059556e-15,1.1029726258845671e-13,0.0
2030-01-04 00:00:00+00:00,,-8.617408869815435e-12,-5.428552399266984e-11,-9.797571608183286e-12,6.689614140409361e-14,2.668527664193964e-14,-5.460749008534549e-08,9.231603510261358e-16,4.257661931350576e-14,1.5544102785388638e-15,3.132563991732097e-14,0.0
2030-01-05 00:00:00+00:00,,-8.594937261907631e-12,-5.409057229899261e-11,-9.784814451740953e-12,6.446058964382217e-14,2.1816012876958203e-14,-5.454594287357395e-08,9.162297156934643e-16,4.219454646792187e-14,1.5320046688972115e-15,3.0373930638444985e-14,0.0
2030-01-06 00:00:00+00:00,,-8.571626915199193e-12,-5.38683889161895e-11,-9.771114473089426e-12,6.376756761516944e-14,1.8130245568737102e-14,-5.454907991975233e-08,9.093940539300037e-16,4.197987443776974e-14,1.5101417956165123e-15,3.020715662739419e-14,0.0
2030-01-07 00:00:00+00:00,,-8.54987088072523e-12,-5.3663740118281567e-11,-9.758266243664604e-12,6.429839299881834e-14,1.534671403900876e-14,-5.4486097411654555e-08,9.027659152386204e-16,4.209870299587415e-14,1.4889511488585779e-15,3.035563472678429e-14,0.0
2030-01-08 00:00:00+00:00,,-8.52916522131597e-12,-5.34747489344678e-11,-9.746072004990225e-12,6.481273850944547e-14,1.324329999098173e-14,-5.442812778255757e-08,8.963118418178978e-16,4.226523644956792e-14,1.468380636097152e-15,3.0432640186085075e-14,0.0
2030-01-09 00:00:00+00:00,,-8.509122226274535e-12,-5.3290954982188055e-11,-9.734146648454622e-12,6.501136434744481e-14,1.1653090500201874e-14,-5.4371746216475e-08,8.900116107562204e-16,4.2323349686013145e-14,1.4483910820584241e-15,3.0444979762060675e-14,0.0
2030-01-10 00:00:00+00:00,,-8.488723612920523e-12,-5.308366246570273e-11,-9.722559562996835e-12,6.448574313422384e-14,1.044792778768372e-14,-5.430897331848428e-08,8.838193763953178e-16,4.214944365754647e-14,1.42890900663422e-15,3.02947974323807e-14,0.0
2030-01-11 00:00:00+00:00,,-8.468014484064312e-12,-5.285456447512438e-11,-9.711361922959405e-12,6.397053026185873e-14,9.53377849078783e-15,-5.423938631565761e-08,8.77735615191223e-16,4.197423658647281e-14,1.409913975154687e-15,3.012972765161978e-14,0.0
2030-01-12 00:00:00+00:00,,-8.447205608608233e-12,-5.261013846791229e-11,-9.700535513745834e-12,6.371292382567617e-14,8.840670911807423e-15,-5.4165777640946544e-08,8.71770491539303e-16,4.187665839094912e-14,1.3914168931690213e-15,3.001868840849832e-14,0.0
2030-01-13 00:00:00+00:00,,-8.42635509978873e-12,-5.235239672329861e-11,-9.690044773524864e-12,6.339113262088247e-14,8.313796936857461e-15,-5.408701397868754e-08,8.65920670247328e-16,4.175956455632068e-14,1.3733836676010957e-15,2.986297664773867e-14,0.0
2030-01-14 00:00:00+00:00,,-8.405064838568066e-12,-5.207045558619505e-11,-9.679867150891308e-12,6.28733176633034e-14,7.912143230631892e-15,-5.400026026336491e-08,8.601722282112275e-16,4.1585224846985014e-14,1.3557956637260705e-15,2.96804613763961e-14,0.0
2030-01-15 00:00:00+00:00,,-8.384266371452842e-12,-5.179120673992621e-11,-9.670016523632974e-12,6.327143670104007e-14,7.608056708501704e-15,-5.3916949127597036e-08,8.545710640288308e-16,4.174698781111985e-14,1.3386965037407296e-15,2.9687268133160236e-14,0.0
2030-01-16 00:00:00+00:00,,-8.364450625186759e-12,-5.151615592446923e-11,-9.660484218132481e-12,6.355679871283826e-14,7.377972913874282e-15,-5.3835623958775614e-08,8.491064309696197e-16,4.1847601772726506e-14,1.3220782467111922e-15,2.969194714316087e-14,0.0
2030-01-17 00:00:00+00:00,,-8.339174836780039e-12,-5.126229996044174e-11,-9.649414080270535e-12,6.41891054198318e-14,8.567840752463866e-15,-5.376129408318775e-08,8.443388530864396e-16,4.201847203511022e-14,1.3089104842714137e-15,1.0977780099882817e-13,0.0
2030-01-18 00:00:00+00:00,,-8.32145723855815e-12,-5.099989874857158e-11,-9.640527959264844e-12,6.39722649853347e-14,8.103843727254485e-15,-5.380155343459592e-08,8.391054070822697e-16,4.195515462823707e-14,1.2931400013429595e-15,3.124055376370338e-14,0.0
2030-01-19 00:00:00+00:00,,-8.304505520750904e-12,-5.071998029904101e-11,-9.631856076608436e-12,6.393670315407718e-14,7.75031080979538e-15,-5.369410871480795e-08,8.33967516982462e-16,4.196339456474796e-14,1.2777627534602681e-15,9.470570351164873e-14,0.0
2030-01-20 00:00:00+00:00,,-8.288312744464399e-12,-5.044818729427192e-11,-9.62345481081428e-12,6.428017840232059e-14,7.483923183048639e-15,-5.3727152504734477e-08,8.2894487630304e-16,4.206661061156858e-14,1.2628360212263976e-15,3.0904454478364665e-14,0.0
