time,PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11,Groundwater Recharge
2065-01-01 00:00:00+00:00,,-8.188796862818037e-12,-3.831771705486986e-11,-9.443496332139922e-12,6.169977723180509e-14,4.58325495882473e-14,3.74342646724396e-13,9.42884254356781e-16,3.9919456629178285e-14,1.617120892184428e-15,1.0345362262166591e-13,0.0,-5.029291108353272e-09
2065-01-02 00:00:00+00:00,,-8.119976045717348e-12,-3.8312929218076164e-11,-9.426769261022816e-12,6.695772408749079e-14,4.0721989853515633e-14,4.129133016408937e-13,9.37260590861723e-16,4.259396654826553e-14,1.6004788123532491e-15,1.1052445037743747e-13,0.0,-5.0166750320823185e-09
2065-01-03 00:00:00+00:00,,-8.1749459632241e-12,-3.829542585820356e-11,-9.44052648554905e-12,6.679292535727299e-14,3.313934413343156e-14,-5.3544173539421536e-08,9.302915214090698e-16,4.2517205034453553e-14,1.5778037403552515e-15,1.1047382491224597e-13,0.0,-4.872711727848529e-06
2065-01-04 00:00:00+00:00,,-8.158280474790391e-12,-3.8278390873669466e-11,-9.43398571068288e-12,6.688573306323775e-14,2.6686626812457565e-14,-5.3535142541250025e-08,9.23217949266549e-16,4.256317520656694e-14,1.5545649679308562e-15,1.1047424504058781e-13,0.0,-4.871887646431466e-06
2065-01-05 00:00:00+00:00,,-8.088364179814622e-12,-3.826162997544458e-11,-9.417034860237372e-12,6.674175101473168e-14,2.7943828688156182e-14,-5.35262643097667e-08,9.183413688309693e-16,4.2459525478877325e-14,1.5417385597688211e-15,1.1032959891825109e-13,0.0,-4.871071036727107e-06
2065-01-06 00:00:00+00:00,,-8.067446884141294e-12,-3.82445290714184e-11,-9.409396872772646e-12,6.658215645494181e-14,2.3679561593882917e-14,-5.351617460291891e-08,9.118230267853738e-16,4.237365666681647e-14,1.5210132517362845e-15,1.1023174967218427e-13,0.0,-4.870150061435143e-06
2065-01-07 00:00:00+00:00,,-8.054425182368874e-12,-3.822808389286614e-11,-9.403555191467294e-12,6.678945591032104e-14,1.953370801156991e-14,-5.3507445585410096e-08,9.051437484798e-16,4.2484245288409994e-14,1.499358007406781e-15,1.1035044270501712e-13,0.0,-4.869353644302103e-06
2065-01-08 00:00:00+00:00,,-7.999927977009325e-12,-3.821311669871541e-11,-9.387563643104002e-12,6.746426334247602e-14,2.2961821449763407e-14,-5.350036502704825e-08,9.009255244024736e-16,4.281731219579754e-14,1.489554236317023e-15,1.106980311452524e-13,0.0,-4.8687017548599255e-06
2065-01-09 00:00:00+00:00,,-7.983974592562504e-12,-3.8198440938108646e-11,-9.380736638864295e-12,6.758829607100836e-14,1.9929057251569064e-14,-5.349463805259802e-08,8.949002614112985e-16,4.288323168788466e-14,1.470610979726391e-15,1.1076439787073566e-13,0.0,-4.868177970388494e-06
2065-01-10 00:00:00+00:00,,-7.973709366393411e-12,-3.818416763334831e-11,-9.375566295544147e-12,6.760217385881617e-14,1.672785546961552e-14,-5.3492552609668564e-08,8.886782750181237e-16,4.2885833773098625e-14,1.4505648862384339e-15,1.1076779955505184e-13,0.0,-4.867985975459821e-06
2065-01-11 00:00:00+00:00,,-7.963793687004728e-12,-3.817029331498745e-11,-9.37051564814384e-12,6.775482952470213e-14,1.4310741922539914e-14,-5.3501107544207116e-08,8.826061605170536e-16,4.2940477562591894e-14,1.431113833395923e-15,1.1084523191895804e-13,0.0,-4.868761271077848e-06
2065-01-12 00:00:00+00:00,,-7.934560994349305e-12,-3.815568694331972e-11,-9.359099432948437e-12,6.74729369598559e-14,1.6826716073021358e-14,-5.3548880885045946e-08,8.782316059213996e-16,4.281687851492855e-14,1.4203049518351292e-15,1.1066059228898376e-13,0.0,-4.873099105159652e-06
2065-01-13 00:00:00+00:00,,-7.882951236215519e-12,-3.816475607765213e-11,-9.338706023764853e-12,6.74208952555766e-14,-7.235225751855978e-09,-5.359602184284995e-08,8.763644806078551e-16,4.277697987498108e-14,1.4221363429462114e-15,1.1060868610997601e-13,0.0,-5.535128263907409e-06
2065-01-14 00:00:00+00:00,,-7.876062649292415e-12,-3.8148907643975605e-11,-9.334476767930422e-12,6.690047821278355e-14,-7.234251864218777e-09,-5.36481152835222e-08,8.704662725587682e-16,4.250766405533568e-14,1.4033170708032338e-15,4.31239686158897e-14,0.0,-5.5397792535370866e-06
2065-01-15 00:00:00+00:00,,-7.843199180401772e-12,-3.8155246323556824e-11,-9.31747647786585e-12,6.648501194028711e-14,-7.2329147116079184e-09,-5.365714983440739e-08,8.679962186054562e-16,4.2341997963379896e-14,1.4019765352850854e-15,9.092481270938507e-14,0.0,-5.540470767836524e-06
2065-01-16 00:00:00+00:00,,-7.779845344335623e-12,-3.8161852150553344e-11,-9.27954501434014e-12,6.627944720838386e-14,-7.233174503795681e-09,-5.362712940382153e-08,8.713511043512937e-16,4.2207556893991693e-14,1.4296306787052807e-15,7.812499291156433e-14,0.0,-5.5377578397406945e-06
2065-01-17 00:00:00+00:00,,-7.762506783193235e-12,-3.81440122543264e-11,-9.262175228175185e-12,6.626036525014811e-14,-7.231909737726028e-09,-5.3611199035685786e-08,8.692600447023188e-16,4.220842425572968e-14,1.4286958719688671e-15,3.8300746173789216e-14,0.0,-5.536193490925992e-06
2065-01-18 00:00:00+00:00,,-7.748992419953638e-12,-3.827360303687577e-11,-9.247921872734821e-12,6.598627894094378e-14,-7.23098381172349e-09,-5.36000186457386e-08,8.670504004407284e-16,4.2082656803721363e-14,1.4269562780534436e-15,2.952857820455804e-14,0.0,-5.535103007570093e-06
