time,PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11
2075-01-01 00:00:00+00:00,,-0.004877936793491244,-2.1542905336513485e-05,-0.0025916791055351496,-3.8670379093552754e-05,-0.00041574948411475244,-3.541209309956795e-05,-7.117405679970614e-05,-3.8767047881194117e-05,-0.00015018277894888706,-3.879436517043642e-05,-9.943127224687487e-05
2075-01-02 00:00:00+00:00,,0.0010946939582936466,-2.2192138296350805e-05,0.0021867744508199394,-3.839191247134721e-05,-0.0005045583406372289,-3.722887092081801e-05,-8.703317060690906e-05,-3.85100249085113e-05,-0.0001828405655161236,-3.857847396983661e-05,-2.723621037148405e-05
2075-01-03 00:00:00+00:00,,-0.00011084077414125204,-2.5081683665328924e-05,0.0012007333571091294,-3.8419126346944665e-05,-0.0004580463180898546,-5.259419555159184e-05,-7.817758080015591e-05,-3.8526421271001254e-05,-0.00016935147858155794,-3.934620433442956e-05,-7.80433983891271e-05
2075-01-04 00:00:00+00:00,,-0.00575333193410188,-2.4816766305946203e-05,-0.0033058644039556384,-3.811904158812496e-05,-0.0005756878737527249,-5.5991275502265125e-05,-9.990721369583707e-05,-3.8247697281335036e-05,-0.00020903881518105334,-3.8790131848571225e-05,-8.80626539583318e-05
2075-01-05 00:00:00+00:00,,0.0005180653533898294,-2.3870944420023577e-05,0.0017101226840168238,-3.757953361205324e-05,-0.0006147105051255153,-0.00010926218925533249,-0.00010415995274543066,-3.771343051361953e-05,-0.00022311267094870732,-3.932780258403234e-05,-0.00013883972860639915
2075-01-06 00:00:00+00:00,,-0.000509937119204551,-2.539392185614732e-05,0.0007549008005298674,-3.749022496890575e-05,-0.0002537681088128352,-7.278653117737122e-05,-5.440582319962158e-05,-3.7617994705030355e-05,-9.439155844667456e-05,-3.9148678173586826e-05,-7.876735617173836e-05
2075-01-07 00:00:00+00:00,,-0.005550929228775203,-2.5229593413556017e-05,-0.0043360559502616525,-3.7064188153301814e-05,-0.0005978133149611153,-9.199716771490785e-05,-0.00010167097867523979,-3.718211660785897e-05,-0.00021709367878362804,-3.661053862258071e-05,-8.95159610081464e-05
2075-01-08 00:00:00+00:00,,-6.069632036087569e-06,-2.5474257073802594e-05,0.0013061696845397819,-3.6866521344158805e-05,-0.0007151976791460735,-6.901820532334568e-05,-0.00012326298683546164,-3.7011108602769134e-05,-0.0002604055482267922,-3.855518516634335e-05,-7.196507249318529e-05
2075-01-09 00:00:00+00:00,,-0.0013637831434607506,-2.2481826798204096e-05,-0.0012708822032436728,-3.613196118212869e-05,-0.00012217462058572437,-9.469443352827511e-05,-3.205574405580035e-05,-3.6257012400398025e-05,-4.6027286098765574e-05,-3.566420067673405e-05,-0.0001552637986605987
2075-01-10 00:00:00+00:00,,-0.005453989055240527,-2.0785953599888884e-05,-0.007276614138390869,-3.554956266338394e-05,-0.0004308021987959876,-6.75531073284219e-05,-7.347336155239633e-05,-3.566850584757475e-05,-0.00015573437878701172,-3.7275298140584064e-05,-0.00012247519771335647
2075-01-11 00:00:00+00:00,,-0.0014856227790005505,-2.3229426882960496e-05,-0.0014561570133082569,-3.5590345815350595e-05,-0.000614967703373992,-8.714038835933025e-05,-0.00010646911631700162,-3.570352679993505e-05,-0.00022357230807569807,-3.832574256533481e-05,-3.781954425363665e-05
2075-01-12 00:00:00+00:00,,-0.009043966041645035,-2.2819281952246584e-05,-0.016313679923769087,-3.518171449012897e-05,-0.00039324198487378226,-0.00010604346834952594,-6.745497323320462e-05,-3.530136433393949e-05,-0.00014560375751683318,-3.871418351938156e-05,-3.959922105423175e-05
2075-01-13 00:00:00+00:00,,-0.004169177147559822,-2.5332469086902748e-05,-0.011777638108469546,-3.531501792064518e-05,-0.0006454878770316697,-0.00013685396061191568,-0.00011116966875401825,-3.5460210711768525e-05,-0.0002347381091502095,-3.939068281504697e-05,-0.00014852640742901713
