PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11
,245.84254455566406,0.0,251.51129150390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18032516539096832
,28.9257869720459,0.0,39.32179260253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2495352327823639
,14.560729026794434,0.0,16.81427001953125,0.0,0.0,0.007804493419826031,0.0,0.0,0.0,0.0,0.6274466514587402
,10.765636444091797,0.0,12.872604370117188,0.0,0.0,0.013036556541919708,0.0,0.0,0.0,0.0,1.0165287256240845
,7.966863632202148,0.0,9.979537010192871,0.0,0.01029973104596138,0.017144013196229935,0.0,0.0,0.0,0.0,0.9189813137054443
,5.921296119689941,0.038568057119846344,7.895775318145752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17929649353027344
,1.4816087484359741,0.0048513892106711864,3.30025577545166,0.0,0.0,0.0038341206964105368,0.0,0.0,0.0,0.0,0.6857301592826843
,0.8469560146331787,0.0,2.6129398345947266,0.0,0.0,0.018906276673078537,0.0,0.0,0.0,0.0,2.028874635696411
,0.8394560217857361,0.0,2.5652430057525635,0.0,0.06436044722795486,0.2461283802986145,0.0,0.0,0.0,0.0,16.128280639648438
,0.5932638645172119,0.0,2.1302661895751953,0.0,1.0720456838607788,3.4850144386291504,0.0,0.0,0.0,0.0,38.82051086425781
,0.5253472328186035,0.0,1.9982870817184448,0.0,6.655803680419922,18.038999557495117,0.0,0.0,0.0,0.0,60.1922492980957
,0.48195600509643555,0.0,5.044074058532715,0.0,41.49029541015625,43.402591705322266,0.0,0.0,0.0,0.0,20.604496002197266
,0.32771989703178406,0.0006027778144925833,20.917129516601562,0.0,6.210692882537842,6.155692100524902,0.0,0.0,0.0,0.0,22.094913482666016
,0.19365741312503815,0.0,2.6066854000091553,0.0,14.987977027893066,18.464372634887695,0.0,0.0,0.0,0.0,20.29244041442871
,0.17554397881031036,0.0,3.2437732219696045,0.0,8.347223281860352,13.23946762084961,0.0,0.0,0.0,0.0,13.75800895690918
,0.15975694358348846,0.0,6.023379802703857,0.0,13.311718940734863,13.051091194152832,0.0,0.0,0.0,0.0,5.502230167388916
,0.06946758925914764,0.0018374999053776264,6.941840171813965,0.0,7.576449871063232,5.530266284942627,0.0,0.0,0.0,0.0,1.0104340314865112
,0.03171296417713165,0.0,1.5137076377868652,0.0,0.3330874443054199,0.3271411955356598,0.0,0.0,0.0,0.0,0.55503910779953
,0.025937499478459358,0.0,0.5001736283302307,0.0,0.29424357414245605,0.3620377480983734,0.0,0.0,0.0,0.0,0.7190108895301819
,0.013449073769152164,0.0,0.3691898286342621,0.0,0.5267296433448792,0.6160879731178284,0.0,0.0,0.0,0.0,0.3279443681240082
,0.0,0.0,0.13929398357868195,0.0,0.11212794482707977,0.1495833396911621,0.0,0.0,0.0,0.0,0.5631039142608643
,0.0,0.0,0.10359953343868256,0.0,0.25244688987731934,0.44994214177131653,0.0,0.0,0.0,0.0,0.7827740907669067
,0.0,0.0,0.029710648581385612,0.0,0.43639901280403137,0.6344560384750366,0.0,0.0,0.0,0.0,0.7008683681488037
,0.0,0.0,0.0,0.0,0.12301106750965118,0.15121716260910034,0.0,0.0,0.0,0.0,0.9106891751289368
,0.0,0.015847222879529,0.0,0.0,0.15849731862545013,0.21724125742912292,0.0,0.0,0.0,0.0,1.181640386581421
,0.0009490740485489368,0.006387500092387199,0.0005154093378223479,0.0,0.6236403584480286,0.9072795510292053,0.0,0.0,0.0,0.0,0.9683683514595032
,3.4722223062999547e-05,0.0,0.005354504566639662,0.0,0.15009643137454987,0.21840743720531464,0.0,0.0,0.0,0.0,1.6124008893966675
,0.0,0.0,0.0,0.0,0.9145476818084717,1.1896625757217407,0.0,0.0,0.0,0.0,5.024502277374268
,0.0,0.0,0.016273148357868195,0.0,0.3634294271469116,1.0232884883880615,0.0,0.0,0.0,0.0,23.640579223632812
,0.0,0.047259725630283356,0.0,0.0,2.4696035385131836,5.396778583526611,0.0,0.0,0.0,0.0,25.75580406188965
,2.3148148102336563e-05,0.03509722277522087,0.14082235097885132,0.0,19.596363067626953,23.598955154418945,0.0,0.0,0.0,0.0,10.265510559082031
,0.038842592388391495,0.0029652779921889305,3.7656335830688477,0.0,2.854607105255127,3.876253604888916,0.0,0.0,0.0,0.0,17.63504981994629
,0.0,0.0,0.24548611044883728,0.0,9.742998123168945,13.408379554748535,0.0,0.0,0.0,0.0,41.38180923461914
,0.0,0.0,1.3921759128570557,0.0,13.188562393188477,25.987051010131836,0.0,0.0,0.0,0.0,89.88439178466797
,0.0,0.0,3.6267244815826416,0.0,26.31191062927246,50.83525466918945,0.0,0.0,0.0,0.0,80.67207336425781
,0.0,0.0,9.150023460388184,0.0,91.45745086669922,88.04679107666016,0.0,0.0,0.0,0.0,44.968345642089844
,0.0,0.0,48.249813079833984,0.0,34.53933334350586,37.75128936767578,0.0,0.0,0.0,0.0,33.29285430908203
,0.0,0.0,19.123332977294922,0.0,25.823352813720703,29.751333236694336,0.0,0.0,0.0,0.0,21.11667823791504
,0.0,0.0,5.097499847412109,0.0,16.96847152709961,19.143085479736328,0.0,0.0,0.0,0.0,11.6988525390625
,0.0,0.0,4.437800884246826,0.0,3.8790698051452637,4.143651962280273,0.0,0.0,0.0,0.0,8.091339111328125
