time,PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11,Groundwater Recharge
2035-01-01 00:00:00+00:00,,-8.188796862818037e-12,-3.831771705486986e-11,-9.443496332139922e-12,6.169977723180509e-14,4.58325495882473e-14,3.74342646724396e-13,9.42884254356781e-16,3.9919456629178285e-14,1.617120892184428e-15,1.0345362262166591e-13,0.0,-5.029291108353272e-09
2035-01-02 00:00:00+00:00,,-8.11995349431216e-12,-3.830007838656613e-11,-9.426748444341104e-12,6.672093433301995e-14,4.071972996961236e-14,4.128713159117642e-13,9.372351798733053e-16,4.247557167103011e-14,1.6004337078488078e-15,1.1039553873912894e-13,0.0,-5.0155508696097375e-09
2035-01-03 00:00:00+00:00,,-8.174893921519821e-12,-3.828157929541831e-11,-9.440472709121295e-12,6.624128329191237e-14,3.3133157404784813e-14,-5.354153387315819e-08,9.302144414108696e-16,4.222577149048945e-14,1.5776675798089804e-15,1.1015389040367266e-13,0.0,-4.872470596099967e-06
2035-01-04 00:00:00+00:00,,-8.160983173965963e-12,-3.925845065699818e-11,-9.436076052471432e-12,6.589780804366896e-14,2.6672449174986422e-14,-5.352964649318892e-08,9.230322372928636e-16,4.2034951908132e-14,1.5542435189273732e-15,1.0994074303282558e-13,0.0,-4.871477725440403e-06
2035-01-05 00:00:00+00:00,,-8.109097594799497e-12,-4.081554191848191e-11,-9.428887358386984e-12,6.682154829462661e-14,2.7933550790374198e-14,-5.352106313694094e-08,9.181725975162289e-16,4.2476005351899104e-14,1.5414402982922692e-15,1.1041596239755314e-13,0.0,-4.870833323375717e-06
2035-01-06 00:00:00+00:00,,-8.092636803735953e-12,-4.218772900466128e-11,-9.421303147350013e-12,6.731941393223195e-14,2.3676912074823905e-14,-5.351439824607951e-08,9.117349353588594e-16,4.2742285405461544e-14,1.5208624798716732e-15,3.1633661754524103e-14,0.0,-4.870357464560425e-06
2035-01-07 00:00:00+00:00,,-8.079502344937595e-12,-4.214296273064022e-11,-9.415432843107308e-12,6.737405772172522e-14,1.95338960528842e-14,-5.3507029917909676e-08,9.050910206788334e-16,4.286068028269696e-14,1.4992617632881493e-15,3.015738158328174e-14,0.0,-4.869682316859994e-06
2035-01-08 00:00:00+00:00,,-8.05295240213777e-12,-4.209792583975691e-11,-9.406274370515888e-12,6.718497286284375e-14,1.8552467776020848e-14,-5.3498947494290405e-08,8.993066326820338e-16,4.274055068198557e-14,1.4818734474304394e-15,1.1009049845790014e-13,0.0,-4.868933063384814e-06
2035-01-09 00:00:00+00:00,,-8.02773646169097e-12,-4.2054262849866575e-11,-9.39718441950177e-12,6.737405772172522e-14,-7.236983456948565e-09,-5.3541217681640774e-08,8.9373252061439e-16,4.280863857841766e-14,1.4653563049589805e-15,3.16213221785485e-14,0.0,-5.530685105383008e-06
2035-01-10 00:00:00+00:00,,-8.004106925862953e-12,-4.2009808826071193e-11,-9.388191613002306e-12,6.687358999890591e-14,-7.235840371322411e-09,-5.352087129040228e-08,8.88265558214574e-16,4.2574017228291794e-14,1.4494296503308763e-15,9.786290023792651e-14,0.0,-5.528718556444269e-06
2035-01-11 00:00:00+00:00,,-7.981958843883419e-12,-4.196634706410407e-11,-9.37932457395485e-12,6.710344085947284e-14,-7.247577649138748e-09,-5.3652396303505157e-08,8.829830372390226e-16,4.2684605849885315e-14,1.4342485964545927e-15,8.823517139372808e-14,0.0,-5.541736476606919e-06
2035-01-12 00:00:00+00:00,,-7.974604483707015e-12,-4.326079425243101e-11,-9.379867542402831e-12,6.75622752188687e-14,-7.246222288870285e-09,-5.379096634783309e-08,8.776505413195831e-16,4.289147162439555e-14,1.4185465114366293e-15,3.1337552588691156e-14,0.0,-5.554332710498675e-06
2035-01-13 00:00:00+00:00,,-7.956076769621845e-12,-4.342124229617106e-11,-9.371604187125016e-12,6.738273133910511e-14,-7.250478883946698e-09,-5.375903811000171e-08,8.726118599537225e-16,4.2812541706238605e-14,1.404277288528065e-15,5.003738376874352e-14,0.0,-5.551827582514125e-06
2035-01-14 00:00:00+00:00,,-7.922110016600481e-12,-4.335878531214199e-11,-9.356922354986086e-12,6.742349734079056e-14,-7.260685386256682e-09,-5.38951354656092e-08,8.694352746432821e-16,4.2806470174072686e-14,1.3993847203456057e-15,3.052155831675604e-14,0.0,-5.565119604473072e-06
2035-01-15 00:00:00+00:00,,-7.892227670003304e-12,-4.3297063850866735e-11,-9.343808712869439e-12,6.741048691472074e-14,-7.269809199073052e-09,-5.386721468880751e-08,8.664397955648764e-16,4.2801266003644756e-14,1.3951409794007432e-15,4.0821482343500123e-14,0.0,-5.563400335754387e-06
2035-01-16 00:00:00+00:00,,-7.882024026517609e-12,-4.4162486168008996e-11,-9.3385655111633e-12,6.715548256375214e-14,-7.277987101872441e-09,-5.400119817977611e-08,8.614147726052903e-16,4.268200376467135e-14,1.380424099579555e-15,3.015099834299123e-14,0.0,-5.576402375184609e-06
2035-01-17 00:00:00+00:00,,-7.874239454919163e-12,-4.4639156954184855e-11,-9.333498383889971e-12,6.694558102315895e-14,-7.27567961433806e-09,-5.398551294888421e-08,8.560948763009413e-16,4.258182348393369e-14,1.3641780076512175e-15,2.983404539039225e-14,0.0,-5.5748088978447705e-06
2035-01-18 00:00:00+00:00,,-7.95735526082364e-12,-4.8469443736376405e-11,-9.410422961708687e-12,6.672874058866185e-14,-7.271923507801148e-09,-5.396922020395323e-08,8.521256269705484e-16,4.2464729649305255e-14,1.3547495780362115e-15,2.9717473328059324e-14,0.0,-5.5733490741722285e-06
2035-01-19 00:00:00+00:00,,-7.997238288259823e-12,-5.055803692366467e-11,-9.416553474472789e-12,6.621873188672467e-14,-7.282451974788273e-09,-5.395262547835955e-08,8.466701524550795e-16,4.23567431129257e-14,1.3375663500308555e-15,2.961664591414996e-14,0.0,-5.57299171867971e-06
2035-01-20 00:00:00+00:00,,-8.109284944934902e-12,-5.491595719830933e-11,-9.510114050426122e-12,6.564106896922439e-14,-7.280382963159582e-09,-5.450020168495939e-08,8.413143631295905e-16,4.228692049301763e-14,1.3208639191021848e-15,2.9527727783478994e-14,0.0,-5.6229982169470104e-06
2035-01-21 00:00:00+00:00,,-8.100523724019482e-12,-5.469525179990775e-11,-9.504850899400008e-12,6.458375501061653e-14,-7.2786034976957126e-09,-5.44254739054395e-08,8.361800729198086e-16,4.156961233570122e-14,1.3048256678832798e-15,2.9851914397447527e-14,0.0,-5.6160218075700965e-06
2035-01-22 00:00:00+00:00,,-8.092080824861902e-12,-5.448455922540951e-11,-9.499716985272855e-12,6.515274431073692e-14,-7.276913294163023e-09,-5.435730443537068e-08,8.311749552344829e-16,4.182331564406283e-14,1.2892742488508093e-15,3.0040809520948814e-14,0.0,-5.60965044993187e-06
2035-01-23 00:00:00+00:00,,-8.08391114465179e-12,-5.426579671730103e-11,-9.494667205234286e-12,6.472686969738461e-14,-7.2751444868401904e-09,-5.4282676131833796e-08,8.262518409263633e-16,4.160734257130372e-14,1.2741029358534191e-15,2.9893181842637756e-14,0.0,-5.602684242362935e-06
2035-01-24 00:00:00+00:00,,-8.21315324778249e-12,-5.92495774665025e-11,-9.657810141894263e-12,6.497666987792527e-14,-7.2724843924731886e-09,-5.5252822761531206e-08,8.222999557713892e-16,4.1706221809434396e-14,1.2638656956529036e-15,3.000975390497068e-14,0.0,-5.691117174186303e-06
2035-01-25 00:00:00+00:00,,-8.323864167381068e-12,-6.378435279952299e-11,-9.78921371047603e-12,6.289933851544305e-14,-7.563691895029478e-09,-5.692210791607977e-08,8.175736178048286e-16,4.089133545659429e-14,1.2495176986802446e-15,2.885680653848602e-14,0.0,-5.869778411564982e-06
2035-01-26 00:00:00+00:00,,-8.768393996994028e-12,-7.824593056815488e-11,-1.0059798480344107e-11,5.049606566220888e-14,-8.0095015064785e-09,-6.097621962908306e-08,8.123178842462341e-16,3.1608830136642396e-14,1.2345708494138768e-15,2.290744193454968e-14,0.0,-6.280244381761872e-06
2035-01-27 00:00:00+00:00,,-9.01185983476216e-12,-8.67754965105938e-11,-1.0240774374337125e-11,3.727296943312197e-11,-8.5194704624314e-09,-1.449265738528993e-07,8.033439936865484e-16,3.293127159853526e-10,1.217133617403463e-15,8.561998766226653e-15,0.0,-1.3925952379832322e-05
2035-01-28 00:00:00+00:00,,-8.995298429737009e-12,-8.705863113744883e-11,-1.0227265215267956e-11,1.7135286245473225e-11,-8.481865876319716e-09,-1.7378405914314499e-07,7.876187740812131e-16,2.5729743335922706e-10,1.1935318913611692e-15,-1.688362313454969e-14,0.0,-1.6554344399737723e-05
2035-01-29 00:00:00+00:00,,-8.979123000685263e-12,-8.677901452980308e-11,-1.0213965090377641e-11,9.80049374987857e-13,-8.44495229301856e-09,-1.7474511082582467e-07,7.7155405308270645e-16,1.1421141810075142e-10,1.169944141362505e-15,-2.0685789710382478e-14,0.0,-1.6652805681661807e-05
2035-01-30 00:00:00+00:00,,-8.963042114062958e-12,-8.645365673354277e-11,-1.020065542450821e-11,-1.8313406346948113e-12,-8.408647111934897e-09,-1.728077592133559e-07,7.560254510002526e-16,-7.560507775394854e-12,1.1471927305201361e-15,-2.2068897951492764e-14,0.0,-1.6484675972150254e-05
