time,PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11,Groundwater Recharge
2055-01-01 00:00:00+00:00,,-8.188796862818037e-12,-3.831771705486986e-11,-9.443496332139922e-12,6.169977723180509e-14,4.58325495882473e-14,3.74342646724396e-13,9.42884254356781e-16,3.9919456629178285e-14,1.617120892184428e-15,1.0345362262166591e-13,0.0,-5.029291108353272e-09
2055-01-02 00:00:00+00:00,,-8.132455646403525e-12,-3.8302753330166084e-11,-9.429275936445602e-12,6.782682054895517e-14,3.966587529356108e-14,4.1306441231868385e-13,9.369421064735553e-16,4.302461165117677e-14,1.598814816128368e-15,1.1106093394117403e-13,0.0,-5.017027863849005e-09
2055-01-03 00:00:00+00:00,,-8.194339304323783e-12,-3.8288119202922744e-11,-9.444589207929788e-12,6.780253442029149e-14,3.1630961413488257e-14,-5.3550454737205655e-08,9.298260768045535e-16,4.301246858684493e-14,1.5751865144273541e-15,1.1107113899412255e-13,0.0,-4.873284160254985e-06
2055-01-04 00:00:00+00:00,,-8.170694155984481e-12,-3.827284322799329e-11,-9.436769941861822e-12,6.751370296154136e-14,2.6234797415535492e-14,-5.354347010211313e-08,9.230671774019378e-16,4.286761917660087e-14,1.5532561961482299e-15,1.1088607245954285e-13,0.0,-4.8726454937203265e-06
2055-01-05 00:00:00+00:00,,-8.108473094348145e-12,-3.8257560314169936e-11,-9.421397689779454e-12,6.745992653378607e-14,2.6722435977335687e-14,-5.353885867975805e-08,9.179678273012301e-16,4.2825118451439437e-14,1.5392075194433068e-15,1.1083587389895677e-13,0.0,-4.872217800938739e-06
2055-01-06 00:00:00+00:00,,-8.094101777711415e-12,-3.86337281610416e-11,-9.415333963869177e-12,6.736538410434534e-14,-7.24046156364011e-09,-5.3531262977912775e-08,9.112268214696252e-16,4.278652085409895e-14,1.5171435817167532e-15,1.1075588688368165e-13,0.0,-5.5297858517539334e-06
2055-01-07 00:00:00+00:00,,-8.073508007966357e-12,-3.8616700115401414e-11,-9.4079162862859e-12,6.746252861900004e-14,-7.2396320049961105e-09,-5.352756815568682e-08,9.049306138144472e-16,4.287108862355282e-14,1.4972387309727508e-15,3.174512790225098e-14,0.0,-5.5293776185616445e-06
2055-01-08 00:00:00+00:00,,-8.033015225228368e-12,-3.8772877269943606e-11,-9.395759344166255e-12,6.746773278942797e-14,-7.238762034234014e-09,-5.351959941890527e-08,8.998442868453035e-16,4.285851187835199e-14,1.4832620520683444e-15,1.1035852678746572e-13,0.0,-5.528576367009166e-06
2055-01-09 00:00:00+00:00,,-8.004501575453737e-12,-3.875567228250887e-11,-9.385867083544497e-12,6.766896071264128e-14,-7.241460320273063e-09,-5.3522196452604476e-08,8.94491991530722e-16,4.2956957435613674e-14,1.4677394321560805e-15,3.182170645694635e-14,0.0,-5.5290598185420925e-06
2055-01-10 00:00:00+00:00,,-7.993655216920192e-12,-3.873896342598826e-11,-9.380608269327073e-12,6.772273714039656e-14,-7.240655630624815e-09,-5.351268583808633e-08,8.882724403572705e-16,4.2967365776469535e-14,1.4477248906454086e-15,1.1045170041166369e-13,0.0,-5.528111928892975e-06
2055-01-11 00:00:00+00:00,,-7.983058658567188e-12,-3.8721796602469993e-11,-9.37542665030433e-12,6.759003079448433e-14,-7.239822075177926e-09,-5.3650886400191666e-08,8.821766618732365e-16,4.289797683743046e-14,1.4282787082423444e-15,1.1076014237720866e-13,0.0,-5.540596836243232e-06
2055-01-12 00:00:00+00:00,,-7.972759605290314e-12,-3.8704237731446156e-11,-9.370328298008435e-12,6.73011993357342e-14,-7.238907695494845e-09,-5.3788554055245186e-08,8.761876095405565e-16,4.274705589502048e-14,1.4093432867064745e-15,3.165025343589492e-14,0.0,-5.553033190212292e-06
2055-01-13 00:00:00+00:00,,-7.962914182202407e-12,-3.868648110194606e-11,-9.365366988867141e-12,6.727257639838058e-14,-7.237966226369963e-09,-5.377171419240767e-08,8.703110008316246e-16,4.274315276719953e-14,1.3908740509289497e-15,3.56128090884221e-14,0.0,-5.551413390120667e-06
2055-01-14 00:00:00+00:00,,-7.919336193762394e-12,-3.866910264216372e-11,-9.349318194629141e-12,6.746599806595199e-14,-7.23682047620855e-09,-5.3908070896113713e-08,8.675417324896951e-16,4.283856255837826e-14,1.3883844093387325e-15,3.0332663193254755e-14,0.0,-5.563698748745715e-06
2055-01-15 00:00:00+00:00,,-7.911202942745277e-12,-3.8651099681930035e-11,-9.349415339143796e-12,6.713379852030243e-14,-7.248635469636611e-09,-5.3894289919753646e-08,8.618422066062985e-16,4.266855965773253e-14,1.3705036497013126e-15,3.000847657928622e-14,0.0,-5.563517733106679e-06
2055-01-16 00:00:00+00:00,,-7.89841716336559e-12,-4.023341035330752e-11,-9.358330083086841e-12,6.695165255532487e-14,-7.245906985531292e-09,-5.3880402361983215e-08,8.596162569604734e-16,4.2558404717008e-14,1.3705413426674654e-15,2.990296676724444e-14,0.0,-5.562150714721147e-06
2055-01-17 00:00:00+00:00,,-7.954439190660523e-12,-4.379033247126074e-11,-9.397376106445865e-12,6.725522916362081e-14,-7.257055401055368e-09,-5.3867573512889066e-08,8.557878268575616e-16,4.270455516985905e-14,1.3618472906177289e-15,3.006037937016218e-14,0.0,-5.562329893083089e-06
2055-01-18 00:00:00+00:00,,-7.950895150599102e-12,-4.377979576086766e-11,-9.39578709974187e-12,6.677297603729926e-14,-7.268653678949022e-09,-5.3856890502856913e-08,8.503945033845974e-16,4.193260322304937e-14,1.3447667653572275e-15,3.0352656558941746e-14,0.0,-5.562411764220005e-06
2055-01-19 00:00:00+00:00,,-7.944607645360424e-12,-4.3710937647212234e-11,-9.39150146539447e-12,6.66576169261468e-14,-7.267273449684808e-09,-5.384583090517481e-08,8.451175410627623e-16,4.174698781111985e-14,1.3281498847562295e-15,3.033223628864934e-14,0.0,-5.5612736810462846e-06
2055-01-20 00:00:00+00:00,,-7.938496214554558e-12,-4.3643099550960684e-11,-9.387293893603488e-12,6.658128909320382e-14,-7.265881674101138e-09,-5.383456525009933e-08,8.399426991506306e-16,4.1701885000744454e-14,1.3119827786502235e-15,3.0291395748064526e-14,0.0,-5.560115917033115e-06
2055-01-21 00:00:00+00:00,,-7.966915321899748e-12,-4.5617704058642516e-11,-9.431316838615089e-12,6.600275881396556e-14,-7.263753598607536e-09,-5.4211806599369083e-08,8.355651799396612e-16,4.1282949281296055e-14,1.299970686787855e-15,2.9984651236545853e-14,0.0,-5.594403338936416e-06
2055-01-22 00:00:00+00:00,,-7.984817668171829e-12,-4.719150764609381e-11,-9.455844961203663e-12,6.532187984964466e-14,-7.275078761637133e-09,-5.446852213708553e-08,8.305868496712924e-16,3.965057449040188e-14,1.2845610398949311e-15,3.0166739603283005e-14,0.0,-5.618917801332391e-06
2055-01-23 00:00:00+00:00,,-7.97876782004936e-12,-4.701485381564119e-11,-9.451302587781818e-12,6.49601900049035e-14,-7.273485369552191e-09,-5.4406516625249424e-08,8.257214924222637e-16,3.9219495706621643e-14,1.2695902619478034e-15,3.015227566867569e-14,0.0,-5.6131191356138144e-06
2055-01-24 00:00:00+00:00,,-7.972921801935318e-12,-4.684728646675573e-11,-9.446879042918077e-12,6.551790360243004e-14,-7.271992341628675e-09,-5.4347189859527134e-08,8.209816019285471e-16,3.975812734591244e-14,1.255083658055771e-15,3.031734544943661e-14,0.0,-5.607573783547796e-06
2055-01-25 00:00:00+00:00,,-7.967244051998446e-12,-4.668709516209013e-11,-9.442545703675087e-12,6.576683642123271e-14,-7.270536617198786e-09,-5.429042104765358e-08,8.163487022839805e-16,4.0000121270811206e-14,1.2409927355826037e-15,3.039435090873739e-14,0.0,-5.602265121010917e-06
2055-01-26 00:00:00+00:00,,-7.961663446576228e-12,-4.653139679122731e-11,-9.438222772772953e-12,6.494284277014373e-14,-7.268901480728118e-09,-5.422263171794839e-08,8.117649834899138e-16,3.923380717529845e-14,1.227185675025885e-15,3.014206383946359e-14,0.0,-5.595938920365694e-06
2055-01-27 00:00:00+00:00,,-7.956251976692919e-12,-4.638245690302689e-11,-9.43399872110895e-12,6.528371593317317e-14,-7.26732762856841e-09,-5.4158455498054536e-08,8.072903201878062e-16,3.951353133579971e-14,1.213789531327703e-15,3.019694818631388e-14,0.0,-5.589947165358952e-06
2055-01-28 00:00:00+00:00,,-7.950980152049425e-12,-4.6239005679904466e-11,-9.429844925745723e-12,6.507294703084199e-14,-7.265735124661887e-09,-5.409087933117007e-08,8.028963897134837e-16,3.92377103031194e-14,1.2007469180058813e-15,3.0121643569171186e-14,0.0,-5.583645259149586e-06
