time,PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11
2100-01-31 00:00:00+00:00,,-8.188796862818037e-12,-3.831771705486986e-11,-9.443496332139922e-12,6.169977723180509e-14,4.58325495882473e-14,3.74342646724396e-13,9.42884254356781e-16,3.9919456629178285e-14,1.617120892184428e-15,1.0345362262166591e-13,0.0
2100-02-01 00:00:00+00:00,,-8.135859173863391e-12,-3.963723446687162e-11,-9.4409705747589e-12,6.635317295611287e-14,4.071628762771472e-14,4.1283193226784864e-13,9.372068042695723e-16,4.230296668517042e-14,1.6003848975752223e-15,1.1019303010209938e-13,0.0
2100-02-02 00:00:00+00:00,,-8.204537743639051e-12,-4.004976211779976e-11,-9.455004487679552e-12,6.694644838489694e-14,3.3133347140165e-14,-5.354386800604516e-08,9.30235087838959e-16,4.264557457167584e-14,1.577682826402031e-15,3.131968696976767e-14,0.0
2100-02-03 00:00:00+00:00,,-8.191757168429792e-12,-4.016754290292468e-11,-9.451442233021634e-12,6.720839162976944e-14,2.6681151591486513e-14,-5.35364534925975e-08,9.231662802567666e-16,4.2658584997745663e-14,1.5544367483184655e-15,1.1015644505504157e-13,0.0
2100-02-04 00:00:00+00:00,,-8.302475894284012e-12,-4.5044048352371746e-11,-9.569965479794273e-12,6.703231719695779e-14,2.6187719324327098e-14,-5.40529505599352e-08,9.177075764281862e-16,4.258919605870659e-14,1.5388186254413987e-15,3.136818468819566e-14,0.0
2100-02-05 00:00:00+00:00,,-8.296794674900188e-12,-4.495083819056056e-11,-9.563931244183088e-12,6.528805274186311e-14,-7.25020710135027e-09,-5.398635494202608e-08,9.109632883439107e-16,4.068707176729802e-14,1.516745793868899e-15,3.02684208264032e-14,0.0
2100-02-06 00:00:00+00:00,,-8.280920220371524e-12,-4.485344734517227e-11,-9.556980207214849e-12,6.542075908777534e-14,-7.249158606725814e-09,-5.392046986685273e-08,9.043632076189052e-16,4.073651138636336e-14,1.4952915081061315e-15,3.0236511401214236e-14,0.0
2100-02-07 00:00:00+00:00,,-8.329847228649712e-12,-4.668328917878384e-11,-9.623737570740865e-12,6.514580541683301e-14,-7.248125655223703e-09,-5.442574035896541e-08,8.978888054074485e-16,4.054005395270899e-14,1.4744007110115251e-15,3.009016104858764e-14,0.0
2100-02-08 00:00:00+00:00,,-8.313459295972159e-12,-4.6527125902029454e-11,-9.615852385180812e-12,6.386297740634816e-14,-7.2470278666969534e-09,-5.4352078393549164e-08,8.91547705006066e-16,3.9394269096826307e-14,1.454098495936142e-15,2.9953168715962306e-14,0.0
2100-02-09 00:00:00+00:00,,-8.30437368176673e-12,-4.660741237394461e-11,-9.612642279388517e-12,6.42194630806614e-14,-7.245947397649388e-09,-5.432107741398795e-08,8.8535060020571675e-16,3.949488305843296e-14,1.434370463319879e-15,3.006633570584727e-14,0.0
