filename;ncols;nrows;cellsize_deg;west;east;south;north
aral_basin_05min.map;324;216;0,0833333;59;80;34;49
aral_basin_ad_sd_rivers_05min_clone.map;252;180;0,0833333;61;79;36;48
aral_basin_ad_sd_rivers_05min_mask.map;252;180;0,0833333;61;79;36;48
aral_basin_ad_sd_rivers_buffer_05min_mask.map;252;180;0,0833333;61;79;36;48
aral_basin_ad_sd_rivers_edge_05min_mask.map;252;180;0,0833333;61;79;36;48
