,Corrected
2030-12-31,11485.27798881082
2031-12-31,6325.827718733308
2032-12-31,5597.934058863454
2033-12-31,6744.467791777527
2034-12-31,7039.307273348041
2035-12-31,9045.681107908098
2036-12-31,7109.906015343922
2037-12-31,6155.657503098993
2038-12-31,10082.402009042638
2039-12-31,6626.004531840636
2040-12-31,6464.555713210524
2041-12-31,9123.430266277484
2042-12-31,7236.352361088296
2043-12-31,7282.011122183742
2044-12-31,10208.05087205073
2045-12-31,9305.879649181357
2046-12-31,11156.776027208029
2047-12-31,10178.925829287951
2048-12-31,12802.617953242077
2049-12-31,7722.258867475148
2050-12-31,12924.40516390399
2051-12-31,8942.706103687246
2052-12-31,8619.309780978752
2053-12-31,8717.855935133544
2054-12-31,9633.348834360086
2055-12-31,16095.138570749623
2056-12-31,13919.389942582682
2057-12-31,11057.149259632746
2058-12-31,8994.382289584712
2059-12-31,7981.955047257588
2060-12-31,11802.812248526061
2061-12-31,10856.13649232474
2062-12-31,6811.601930983637
2063-12-31,7091.813171103346
2064-12-31,6620.710284437211
2065-12-31,11755.98802697335
2066-12-31,8637.692636828811
2067-12-31,10919.029182679029
2068-12-31,5495.3157210305435
2069-12-31,11853.512059291408
2070-12-31,6121.739494022905
2071-12-31,7851.93275394604
2072-12-31,7807.921027594879
2073-12-31,11298.086768630854
2074-12-31,10940.57035178337
2075-12-31,8431.471363076116
2076-12-31,6696.432737094981
2077-12-31,7518.405345534776
2078-12-31,9356.337219078783
2079-12-31,7200.299464763249
2080-12-31,10629.431524770524
2081-12-31,11898.452098131385
2082-12-31,8244.069564505258
2083-12-31,9813.639022225021
2084-12-31,6435.165151988493
2085-12-31,5876.2017415123255
2086-12-31,7987.523641430697
2087-12-31,6317.876055148514
2088-12-31,7841.138803620405
2089-12-31,4169.070789237367
2090-12-31,5285.7026041311
2091-12-31,5027.290671268702
2092-12-31,7326.400132552235
2093-12-31,7190.439884035225
2094-12-31,7990.527038799909
2095-12-31,8239.350328654242
2096-12-31,6466.312754042737
2097-12-31,8582.091978471926
2098-12-31,5927.718095901608
2099-12-31,5209.003392287832
